"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
2,2.22,0.40801,16,328.67,0,0.176,"1618325"
2,2.23,0.44067,15,329.67,0,0.165,"1618326"
2.667,2.9,0.24815,22,330.67,0,0.242,"1618327"
3.333,4,0.24958,22,332.67,0,0.242,"1618328"
3.444,4.21,0.15339,27,331.67,0,0.297,"1618329"
4,4.32,0.0777,33,329,0,0.363,"1618330"
2.667,3.08,0.15215,27,329.67,0,0.297,"1618331"
2,2.54,0.27067,21,329.67,0,0.231,"1618332"
2.5,2.99,0.1104,30,330,0,0.33,"1618333"
2,2.29,0.32102,19,329,0,0.209,"1618334"
1.636,1.86,0.40943,16,330.67,0,0.176,"1618335"
1.143,1.31,0.5436,12,328,0,0.132,"1618336"
1,1.31,0.78334,6,330.67,0,0.066,"1618337"
0,0,0.78162,-6,325.33,0,-0.066,"1618338"
2.667,2.84,0.29609,20,330.67,0,0.22,"1618339"
0,0,0.9122,-3,329,0,-0.033,"1618340"
-3,-2.81,0.24431,-22,325.33,0,-0.242,"1620712"
-3.667,-3.95,0.27212,-21,331.67,0,-0.231,"1620713"
-3.2,-3.17,0.29413,-20,328,0,-0.22,"1620714"
0,0,0.91229,3,329.67,0,0.033,"1620715"
3.333,4.01,0.06844,34,328,0,0.374,"1620716"
4,5.02,0.09848,31,329.67,0,0.341,"1620717"
1,1.44,0.58026,11,327,0,0.121,"1620718"
0.5,0.82,0.57871,11,324.33,0,0.121,"1620719"
0,0,0.65489,9,320.33,0,0.099,"1620720"
0,0,0.91121,-3,321.67,0,-0.033,"1620721"
0,0,0.95556,-2,322,0,-0.022,"1620722"
1.6,2.19,0.18444,25,327,0,0.275,"1620723"
0,0,0.78162,6,325.33,0,0.066,"1620724"
2,2.7,0.27019,21,329,0,0.231,"1620725"
6.333,8.11,0.00722,50,332.67,0,0.549,"1620726"
5.333,6.98,0.06191,35,331.67,0,0.385,"1620727"
3.5,4.56,0.02458,42,332.67,0,0.462,"1620728"
-2,-2.5,0.29609,-20,330.67,0,-0.22,"1620729"
0.167,0.23,0.86896,4,330.67,0,0.044,"1620730"
1.143,1.4,0.43834,15,326.33,0,0.165,"1620731"
3.333,4.23,0.00239,56,328,0,0.615,"1620732"
1.889,2.25,0.18265,25,324.33,0,0.275,"1620733"
0,0,0.95579,2,325.33,0,0.022,"1620734"
0,0,1,0,330.67,0,0,"1620735"
2.667,3.13,0.22704,23,331.67,0,0.253,"1620736"
