"nie_malla_modi_id","sen_slope_tempm08","sen_slope_per_tempm08","p_value_tempm08","tau_tempm08"
1671239,0.006,0.03,0.86935,0.044
1671240,0.008,0.04,0.91281,0.033
1671241,0.016,0.08,0.74256,0.077
1671242,0.018,0.09,0.82667,0.055
1671243,0.019,0.09,0.82667,0.055
1671244,0.026,0.12,0.74256,0.077
1671245,0.03,0.13,0.74256,0.077
1671246,0.029,0.12,0.70113,0.088
1671247,0.024,0.11,0.70113,0.088
1671248,0.024,0.1,0.66142,0.099
1671249,0.028,0.12,0.66142,0.099
1671250,0.03,0.13,0.66142,0.099
1671251,0.03,0.13,0.66142,0.099
1671252,0.03,0.13,0.66142,0.099
1671253,0.028,0.12,0.66142,0.099
1671254,0.028,0.13,0.66046,0.099
1671255,0.028,0.13,0.70113,0.088
1671256,0.032,0.14,0.70113,0.088
1671257,0.032,0.14,0.70113,0.088
1671258,0.03,0.13,0.74256,0.077
1671259,0.028,0.12,0.70113,0.088
1671260,0.03,0.13,0.74256,0.077
1671261,0.027,0.12,0.74256,0.077
1671262,0.03,0.13,0.74256,0.077
1671263,0.027,0.12,0.74256,0.077
1671264,0.027,0.11,0.74256,0.077
1671265,0.023,0.1,0.74256,0.077
1671266,0.02,0.08,0.74256,0.077
1671267,0.023,0.1,0.66142,0.099
1671268,0.025,0.1,0.74256,0.077
1671269,0.027,0.11,0.70113,0.088
1671270,0.022,0.09,0.66142,0.099
1671271,0.023,0.1,0.70113,0.088
1671272,0.022,0.09,0.74256,0.077
1671273,0.022,0.09,0.66142,0.099
1671274,0.027,0.11,0.66142,0.099
1671275,0.032,0.13,0.6217,0.11
1671276,0.032,0.12,0.51122,0.143
1671277,0.03,0.12,0.58407,0.121
1671278,0.034,0.13,0.58407,0.121
1671279,0.03,0.11,0.58407,0.121
1671280,0.03,0.12,0.58407,0.121
1671281,0.038,0.14,0.6217,0.11
1671282,0.04,0.15,0.476,0.154
1673508,0.01,0.04,0.54644,0.132
1673509,0.01,0.04,0.70113,0.088
1673510,0.02,0.09,0.74256,0.077
1673511,0.021,0.09,0.70113,0.088
1673512,0.022,0.1,0.74256,0.077
1673513,0.023,0.1,0.74256,0.077
1673514,0.025,0.11,0.70113,0.088
1673515,0.038,0.17,0.51122,0.143
1673517,0.035,0.17,0.54644,0.132
1673518,0.032,0.16,0.54644,0.132
1673519,0.03,0.16,0.66142,0.099
1673520,0.03,0.16,0.66142,0.099
1673521,0.033,0.18,0.58407,0.121
1673522,0.033,0.18,0.6217,0.11
1673523,0.042,0.24,0.38107,0.187
1673524,0.04,0.22,0.38107,0.187
1673525,0.038,0.21,0.37964,0.187
1673526,0.041,0.22,0.35131,0.198
1673527,0.044,0.23,0.29754,0.22
1673528,0.045,0.23,0.24958,0.242
1673529,0.038,0.2,0.32297,0.209
1673530,0.042,0.21,0.22844,0.253
1673531,0.043,0.22,0.15463,0.297
1673532,0.043,0.22,0.12531,0.319
1673533,0.05,0.26,0.17048,0.286
1673534,0.045,0.24,0.18889,0.275
1673535,0.042,0.23,0.18889,0.275
1673536,0.047,0.26,0.15463,0.297
1673537,0.058,0.32,0.12531,0.319
1673538,0.063,0.36,0.13878,0.308
1673539,0.063,0.37,0.10052,0.341
1673540,0.058,0.35,0.12418,0.319
1673541,0.053,0.33,0.15463,0.297
1673542,0.055,0.36,0.11184,0.33
1673543,0.05,0.32,0.13878,0.308
1673544,0.065,0.41,0.15463,0.297
1673545,0.06,0.36,0.12531,0.319
1673546,0.06,0.33,0.15463,0.297
1673547,0.07,0.41,0.18889,0.275
1673548,0.053,0.32,0.24958,0.242
1673549,0.053,0.32,0.22844,0.253
1673550,0.055,0.31,0.22704,0.253
1673551,0.063,0.34,0.13878,0.308
1673552,0.06,0.3,0.0892,0.352
1673553,0.075,0.39,0.10052,0.341
1673554,0.06,0.3,0.0892,0.352
1673555,0.07,0.36,0.10052,0.341
1673556,0.057,0.31,0.18889,0.275
1673557,0.045,0.26,0.18756,0.275
1673558,0.052,0.32,0.27356,0.231
1673559,0.049,0.33,0.51122,0.143
1673560,0.05,0.36,0.476,0.154
1673561,0.051,0.38,0.44342,0.165
1673562,0.052,0.4,0.44342,0.165
1673563,0.037,0.27,0.54644,0.132
1673564,0.043,0.31,0.6217,0.11
1673565,0.04,0.31,0.66142,0.099
1673566,0.039,0.29,0.6217,0.11
1673567,0.043,0.31,0.66142,0.099
1673568,0.045,0.31,0.51122,0.143
1673569,0.042,0.31,0.51122,0.143
1673570,0.041,0.31,0.476,0.154
1673571,0.039,0.29,0.476,0.154
1673572,0.037,0.25,0.476,0.154
1673573,0.035,0.23,0.6217,0.11
1673574,0.034,0.23,0.66142,0.099
1673575,0.033,0.22,0.6217,0.11
1673576,0.037,0.24,0.66142,0.099
1673577,0.03,0.18,0.74256,0.077
1673578,0.029,0.17,0.66142,0.099
1673579,0.029,0.17,0.70113,0.088
1673580,0.023,0.14,0.74256,0.077
1673581,0.023,0.13,0.74256,0.077
1673582,0.022,0.13,0.74256,0.077
1673583,0.02,0.12,0.66142,0.099
1673584,0.019,0.12,0.82667,0.055
1673585,0.02,0.12,0.78398,0.066
1673586,0.02,0.12,0.70113,0.088
1673587,0.027,0.16,0.74256,0.077
1673588,0.03,0.18,0.66142,0.099
1673589,0.028,0.16,0.66142,0.099
1673590,0.034,0.19,0.66142,0.099
1673591,0.038,0.21,0.58407,0.121
1673592,0.036,0.2,0.51122,0.143
1673593,0.036,0.2,0.51122,0.143
1673594,0.036,0.19,0.44342,0.165
1673595,0.036,0.2,0.38107,0.187
1673596,0.042,0.24,0.27356,0.231
1673597,0.049,0.27,0.22844,0.253
1673598,0.056,0.3,0.17048,0.286
1673599,0.047,0.25,0.2073,0.264
1673600,0.05,0.26,0.12531,0.319
1673601,0.053,0.27,0.12531,0.319
1673602,0.057,0.29,0.13878,0.308
