"nie_malla_modi_id","basin_code","basin_name"
1683259,4,"Andarax"
1683262,4,"Andarax"
1683265,4,"Andarax"
1683267,4,"Andarax"
1683270,4,"Andarax"
1683272,4,"Andarax"
1683275,4,"Andarax"
1683277,4,"Andarax"
1683280,4,"Andarax"
1683282,4,"Andarax"
1683285,4,"Andarax"
1683287,4,"Andarax"
1683290,4,"Andarax"
1683293,4,"Andarax"
1685523,1,"Genil"
1685525,1,"Genil"
1685528,1,"Genil"
1685530,1,"Genil"
1685533,1,"Genil"
1685535,1,"Genil"
1685538,1,"Genil"
1685540,1,"Genil"
1685543,1,"Genil"
1685545,1,"Genil"
1685548,1,"Genil"
1685550,1,"Genil"
1685553,1,"Genil"
1685555,1,"Genil"
1685558,1,"Genil"
1685560,1,"Genil"
1685563,1,"Genil"
1685565,1,"Genil"
1685568,1,"Genil"
1685570,1,"Genil"
1685573,2,"Guadalfeo"
1685575,2,"Guadalfeo"
1685578,2,"Guadalfeo"
1685580,2,"Guadalfeo"
1685583,2,"Guadalfeo"
1685585,2,"Guadalfeo"
1685588,2,"Guadalfeo"
1685590,2,"Guadalfeo"
1685593,2,"Guadalfeo"
1685595,2,"Guadalfeo"
1685598,3,"Adra"
1685600,3,"Adra"
1685605,3,"Adra"
1685607,3,"Adra"
1685610,3,"Adra"
1685612,3,"Adra"
1685615,3,"Adra"
1685617,3,"Adra"
1685620,3,"Adra"
1685622,3,"Adra"
1685625,3,"Adra"
1685627,3,"Adra"
1685630,3,"Adra"
1685632,3,"Adra"
1685635,3,"Adra"
1685637,3,"Adra"
1685640,3,"Adra"
1685642,4,"Andarax"
1685645,4,"Andarax"
1685647,4,"Andarax"
1685650,4,"Andarax"
1685652,4,"Andarax"
1685655,4,"Andarax"
1685657,4,"Andarax"
1685660,4,"Andarax"
1685662,4,"Andarax"
1685665,4,"Andarax"
1685667,4,"Andarax"
1685670,4,"Andarax"
1685672,4,"Andarax"
1685675,4,"Andarax"
1685677,4,"Andarax"
1685680,4,"Andarax"
1685682,4,"Andarax"
1685685,4,"Andarax"
1685687,4,"Andarax"
1685690,4,"Andarax"
1685692,4,"Andarax"
1685695,4,"Andarax"
1685697,4,"Andarax"
1687924,1,"Genil"
1687927,1,"Genil"
1687929,1,"Genil"
1687932,1,"Genil"
1687934,1,"Genil"
1687937,1,"Genil"
1687939,1,"Genil"
1687942,1,"Genil"
1687945,1,"Genil"
1687947,1,"Genil"
1687950,1,"Genil"
1687952,1,"Genil"
1687958,1,"Genil"
1687960,1,"Genil"
1687963,1,"Genil"
1687965,1,"Genil"
1687968,1,"Genil"
1687971,1,"Genil"
1687973,1,"Genil"
1687976,2,"Guadalfeo"
1687978,2,"Guadalfeo"
1687981,2,"Guadalfeo"
1687983,2,"Guadalfeo"
1687986,2,"Guadalfeo"
1687988,2,"Guadalfeo"
1687991,2,"Guadalfeo"
1687993,2,"Guadalfeo"
1687996,2,"Guadalfeo"
1687999,2,"Guadalfeo"
1688001,3,"Adra"
1688004,3,"Adra"
1688006,3,"Adra"
1688009,3,"Adra"
1688011,3,"Adra"
1688014,3,"Adra"
1688016,3,"Adra"
1688019,3,"Adra"
1688022,3,"Adra"
1688024,3,"Adra"
1688027,3,"Adra"
1688029,3,"Adra"
1688032,3,"Adra"
1688034,3,"Adra"
1688037,3,"Adra"
1688039,3,"Adra"
1688042,3,"Adra"
1688044,3,"Adra"
1688047,4,"Andarax"
1688050,4,"Andarax"
1688055,4,"Andarax"
1688057,4,"Andarax"
1688060,4,"Andarax"
1688062,4,"Andarax"
1688065,4,"Andarax"
1688068,4,"Andarax"
1688070,4,"Andarax"
1688073,4,"Andarax"
1688075,4,"Andarax"
1688078,4,"Andarax"
1688080,4,"Andarax"
1688083,4,"Andarax"
1688085,4,"Andarax"
1688088,4,"Andarax"
1688090,4,"Andarax"
1688093,4,"Andarax"
1688096,4,"Andarax"
1688098,4,"Andarax"
1690326,1,"Genil"
1690329,1,"Genil"
1690331,1,"Genil"
1690334,1,"Genil"
1690336,1,"Genil"
1690339,1,"Genil"
1690341,1,"Genil"
1690344,1,"Genil"
1690346,1,"Genil"
1690349,1,"Genil"
1690352,1,"Genil"
1690354,1,"Genil"
1690357,1,"Genil"
1690359,1,"Genil"
1690362,1,"Genil"
1690364,1,"Genil"
1690367,1,"Genil"
1690369,1,"Genil"
1690372,1,"Genil"
1690374,1,"Genil"
1690377,2,"Guadalfeo"
1690380,2,"Guadalfeo"
1690382,2,"Guadalfeo"
1690385,2,"Guadalfeo"
1690387,2,"Guadalfeo"
1690390,2,"Guadalfeo"
1690392,2,"Guadalfeo"
1690395,2,"Guadalfeo"
1690397,2,"Guadalfeo"
1690400,2,"Guadalfeo"
1690403,3,"Adra"
1690408,3,"Adra"
1690410,3,"Adra"
1690413,3,"Adra"
1690415,3,"Adra"
1690418,3,"Adra"
1690421,3,"Adra"
1690423,3,"Adra"
1690426,3,"Adra"
1690428,3,"Adra"
1690431,3,"Adra"
1690433,3,"Adra"
1690436,3,"Adra"
1690438,3,"Adra"
1690441,3,"Adra"
1690443,3,"Adra"
1690446,4,"Andarax"
1690449,4,"Andarax"
1690451,4,"Andarax"
1690454,4,"Andarax"
1690456,4,"Andarax"
1690459,4,"Andarax"
1690461,4,"Andarax"
1690464,4,"Andarax"
1690466,4,"Andarax"
1690469,4,"Andarax"
1690471,4,"Andarax"
1690474,4,"Andarax"
1690477,4,"Andarax"
1690479,4,"Andarax"
1690482,4,"Andarax"
1690484,4,"Andarax"
1690487,4,"Andarax"
1690489,4,"Andarax"
1690492,4,"Andarax"
1690494,4,"Andarax"
1690497,4,"Andarax"
1690500,4,"Andarax"
1692729,1,"Genil"
1692732,1,"Genil"
1692734,1,"Genil"
1692737,1,"Genil"
1692739,1,"Genil"
1692742,1,"Genil"
1692744,1,"Genil"
1692747,1,"Genil"
1692749,1,"Genil"
1692752,1,"Genil"
1692754,1,"Genil"
1692757,1,"Genil"
1692761,1,"Genil"
1692763,1,"Genil"
1692766,1,"Genil"
1692768,1,"Genil"
1692771,1,"Genil"
1692773,1,"Genil"
1692776,1,"Genil"
1692778,2,"Guadalfeo"
1692781,2,"Guadalfeo"
1692783,2,"Guadalfeo"
1692786,2,"Guadalfeo"
1692788,2,"Guadalfeo"
1692791,2,"Guadalfeo"
1692793,2,"Guadalfeo"
1692796,2,"Guadalfeo"
1692798,2,"Guadalfeo"
1692801,2,"Guadalfeo"
1692803,3,"Adra"
1692806,3,"Adra"
1692808,3,"Adra"
1692811,3,"Adra"
1692813,3,"Adra"
1692816,3,"Adra"
1692818,3,"Adra"
1692821,3,"Adra"
1692823,3,"Adra"
1692826,3,"Adra"
1692828,3,"Adra"
1692833,3,"Adra"
1692836,3,"Adra"
1692838,3,"Adra"
1692841,3,"Adra"
1692843,3,"Adra"
1692846,3,"Adra"
1692848,4,"Andarax"
1692851,4,"Andarax"
1692853,4,"Andarax"
1692858,4,"Andarax"
1692860,4,"Andarax"
1692863,4,"Andarax"
1692865,4,"Andarax"
1692868,4,"Andarax"
1692870,4,"Andarax"
1692873,4,"Andarax"
1692875,4,"Andarax"
1692878,4,"Andarax"
1692880,4,"Andarax"
1692883,4,"Andarax"
1692885,4,"Andarax"
1692888,4,"Andarax"
1692890,4,"Andarax"
1692893,4,"Andarax"
1692895,4,"Andarax"
1692898,4,"Andarax"
1692900,4,"Andarax"
1695116,1,"Genil"
1695132,1,"Genil"
1695134,1,"Genil"
1695137,1,"Genil"
1695139,1,"Genil"
1695142,1,"Genil"
1695144,1,"Genil"
1695147,1,"Genil"
1695149,1,"Genil"
1695152,1,"Genil"
1695155,1,"Genil"
1695157,1,"Genil"
1695160,1,"Genil"
1695162,1,"Genil"
1695165,1,"Genil"
1695167,1,"Genil"
1695170,1,"Genil"
1695172,1,"Genil"
1695175,1,"Genil"
1695178,2,"Guadalfeo"
1695180,2,"Guadalfeo"
1695183,2,"Guadalfeo"
1695185,2,"Guadalfeo"
1695188,2,"Guadalfeo"
1695190,2,"Guadalfeo"
1695193,2,"Guadalfeo"
1695195,2,"Guadalfeo"
1695198,2,"Guadalfeo"
1695200,2,"Guadalfeo"
1695203,2,"Guadalfeo"
