"nie_malla_modi_id","sen_slope_pnwi","sen_slope_per_pnwi","p_value_pnwi","tau_pnwi"
1707185,15.448,4.15,0.32442,0.209
1707186,16.21,4.2,0.32442,0.209
1707187,15.596,4.16,0.32442,0.209
1707188,15.028,4.11,0.32442,0.209
1707189,14.558,4.28,0.27356,0.231
1707190,14.023,4.77,0.27356,0.231
1707191,13.9,4.81,0.27356,0.231
1707192,11.642,4.56,0.15463,0.297
1707193,9.708,4.33,0.15463,0.297
1707194,8.26,4.35,0.22844,0.253
1707195,6.929,4.16,0.27356,0.231
1707196,8.236,4.83,0.18889,0.275
1707197,5.52,3.41,0.27356,0.231
1707198,2.858,2.49,0.38107,0.187
1707199,3.868,4.59,0.27356,0.231
1707200,3.92,2.96,0.32442,0.209
1707201,5.31,2.99,0.32442,0.209
1707202,6.781,3.16,0.38107,0.187
1707203,9.388,3.89,0.38107,0.187
1707204,8.201,3.59,0.32442,0.209
1707205,5.919,2.85,0.32442,0.209
1707206,4.864,2.82,0.44342,0.165
1707207,4.555,2.9,0.27356,0.231
1707208,5.52,3.32,0.22844,0.253
1707209,2.81,2.23,0.27356,0.231
1707210,3.457,3.37,0.22844,0.253
1707211,3.82,2.97,0.18889,0.275
1707212,5.263,3.6,0.22844,0.253
1707213,6.93,3.95,0.15463,0.297
1707214,7.661,3.89,0.22844,0.253
1707215,6.931,4.1,0.15463,0.297
1707216,7.454,4.45,0.15463,0.297
1707217,7.194,4.4,0.15463,0.297
1707218,7.185,5.28,0.18889,0.275
1707219,7.916,6.72,0.18889,0.275
1707220,7.212,7.76,0.12531,0.319
1707221,6.821,7.46,0.15463,0.297
1707222,7.793,5.84,0.15463,0.297
1707223,8.404,6.36,0.18889,0.275
1707224,7.181,6.79,0.15463,0.297
1707225,4.724,6.51,0.15463,0.297
1707226,4.652,6.61,0.15463,0.297
1707227,5.235,6.31,0.15463,0.297
1707228,4.452,7.28,0.15463,0.297
1707229,2.742,6.51,0.0798,0.363
1707230,1.434,4.92,0.04874,0.407
1707231,1.768,5.23,0.12531,0.319
