"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1637545",0,0,0.95597,-0.022
"1637546",0,0,0.73849,-0.077
"1637547",-0.818,-1.78,0.5436,-0.132
"1637548",0,0,1,0.011
"1637549",2.4,4.27,0.34985,0.198
"1637550",0,0,0.95614,-0.022
"1637551",0.889,1.38,0.78334,0.066
"1637552",0,0,1,0.011
"1637553",1,1.53,0.82563,0.055
"1637554",0,0,0.86804,0.044
"1637555",0.167,0.25,0.74004,0.077
"1637556",1,1.6,0.78334,0.066
"1637557",-1.5,-1.86,0.5818,-0.121
"1637558",-2,-3.14,0.34839,-0.198
"1637559",-2,-2.54,0.50995,-0.143
"1637560",-2,-2.21,0.476,-0.154
"1637566",2.667,2.96,0.07559,0.363
"1637567",3.2,3.65,0.09439,0.341
"1637571",0,0,0.65217,0.099
"1637576",0,0,1,0.011
"1637577",0.8,0.82,0.78249,0.066
"1637578",0.8,1.12,0.70028,0.088
"1637579",1.25,1.61,0.54523,0.132
"1637580",-0.889,-1.43,0.74004,-0.077
"1637584",0.8,0.84,0.50651,0.143
"1637585",0.727,0.7,0.61923,0.11
"1637586",3,3.38,0.08695,0.352
"1637587",0,0,0.73745,0.077
"1637594",1.143,1.54,0.34345,0.198
"1637607",0,0,1,0
"1637608",0,0,0.08621,-0.319
"1637609",0,0,0.09699,-0.308
"1637610",0,0,0.17584,-0.242
"1637611",0,0,0.17584,-0.242
"1637612",0,0,0.75975,-0.066
"1637613",0,0,0.75975,-0.066
"1637614",0,0,0.80709,-0.055
"1637615",0,0,0.17584,-0.242
"1637616",-8,-15.03,0.05796,-0.352
"1637617",0,0,0.12685,-0.253
"1637618",0,0,0.12685,-0.253
"1639929",4,4.38,0.09848,0.341
"1639930",2.286,2.42,0.44067,0.165
"1639933",2.667,4,0.29413,0.22
"1639934",1.778,2.88,0.37626,0.187
"1639935",0,0,1,0.011
"1639936",0.5,0.97,0.69795,0.088
"1639937",0,0,0.86804,-0.044
"1639938",-0.8,-1.58,0.78249,-0.066
"1639939",-0.8,-1.57,0.74004,-0.077
"1639940",-0.8,-1.57,0.74004,-0.077
"1639941",0,0,1,-0.011
"1639942",1.333,2.28,0.47107,0.154
"1639943",0,0,0.82494,-0.055
"1639944",1.6,2.85,0.31656,0.209
"1639945",-0.8,-1.58,0.58026,-0.121
"1639946",0,0,1,-0.011
"1639947",0,0,1,0.011
"1639948",0,0,0.91193,0.033
"1639949",0,0,0.78118,0.066
"1639950",0,0,0.86843,-0.044
"1639951",0.143,0.27,0.82563,0.055
"1639952",2.667,4.2,0.08695,0.352
"1639953",2.667,4.06,0.12153,0.319
"1639954",3,4.94,0.13601,0.308
"1639955",-1,-1.4,0.62065,-0.11
"1639956",0,0,0.95601,0.022
"1639957",0,0,0.91229,0.033
"1639958",0.5,0.63,0.57793,0.121
"1639959",0,0,0.73849,-0.077
"1639960",-0.727,-1.35,0.7408,-0.077
"1639961",-2.5,-3.69,0.37772,-0.187
"1639964",4.333,5.06,0.16747,0.286
"1639966",2.667,3.13,0.24624,0.242
"1639967",2.667,3.09,0.29413,0.22
"1639968",5,5.02,0.03129,0.44
"1639969",2.667,2.59,0.09575,0.341
"1639972",4.6,5.92,0.04561,0.407
"1639973",3.2,3.44,0.15174,0.297
"1639978",2.333,3.02,0.26873,0.231
"1639979",4.6,5.46,0.00814,0.538
"1639980",1.846,2.54,0.41085,0.176
"1639981",1.667,2.41,0.44067,0.165
"1639982",0.727,0.96,0.69912,0.088
"1639985",4,5.14,0.08567,0.352
"1639986",2,2.35,0.12,0.319
"1639987",5.714,6.9,0.01758,0.484
"1639988",2,2.3,0.2041,0.264
"1639991",0,0,1,0
"1639992",0,0,0.8679,-0.044
"1639993",0,0,0.49436,0.143
"1639994",2.667,2.96,0.219,0.253
"1639995",0,0,0.82494,0.055
"1640007",0,0,0.90873,-0.033
"1640008",0,0,0.37621,-0.176
"1640009",0,0,0.37621,-0.176
"1640010",0,0,0.68774,-0.088
"1640011",0,0,0.42656,-0.154
"1640012",0,0,0.17584,-0.242
"1640013",-1.857,-3.49,0.07612,-0.33
"1640014",0,0,0.55592,-0.121
"1640015",0,0,0.55408,-0.121
"1640016",0,0,0.80709,-0.055
"1640017",0,0,0.75975,-0.066
"1640018",0,0,0.16518,-0.231
"1640019",0,0,0.14601,-0.242
"1640020",0,0,0.12685,-0.253
"1640021",0,0,0.56182,-0.11
"1640022",0,0,0.29846,-0.198
"1640023",0,0,0.56182,-0.11
"1642331",4,4.76,0.24815,0.242
"1642332",5,5.94,0.01121,0.516
"1642333",4,4.79,0.11076,0.33
"1642334",4.75,5.54,0.06086,0.385
"1642335",4.6,7.06,0.02415,0.462
"1642336",2.667,4.1,0.29413,0.22
"1642337",4,6.8,0.08695,0.352
"1642338",3.2,5.69,0.10932,0.33
"1642339",2.667,5.11,0.15049,0.297
"1642340",0,0,0.86804,-0.044
"1642341",-0.8,-1.69,0.54237,-0.132
"1642342",-0.8,-1.69,0.54237,-0.132
"1642343",0,0,0.73901,-0.077
"1642344",0,0,0.95579,-0.022
"1642345",-1,-2.09,0.43881,-0.165
"1642346",0,0,0.82315,0.055
"1642347",0,0,0.82315,0.055
"1642348",1.143,2.34,0.26677,0.231
"1642349",0.636,1.3,0.57635,0.121
"1642350",0.636,1.3,0.65689,0.099
