"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1704913,0,NA,NA,0
1704914,0,NA,NA,0
1707124,-0.01,-0.89,0.54644,-0.132
1707125,-0.008,-0.41,0.6217,-0.11
1707126,-0.008,-0.35,0.82667,-0.055
1707127,-0.082,-2.17,0.58407,-0.121
1707128,-0.01,-0.29,0.82667,-0.055
1707129,-0.04,-0.82,0.82667,-0.055
1707130,-0.084,-1.51,0.54644,-0.132
1707131,-0.053,-0.9,0.82667,-0.055
1707132,-0.061,-0.93,0.66142,-0.099
1707133,-0.068,-1.08,0.74256,-0.077
1707134,-0.224,-2.88,0.66142,-0.099
1707135,-0.051,-1.18,0.66142,-0.099
1707136,-0.055,-1.27,0.74256,-0.077
1707137,-0.05,-1.12,0.66142,-0.099
1707138,-0.03,-0.68,0.82667,-0.055
1707139,-0.001,-0.02,1,-0.011
1707140,-0.066,-0.94,0.91281,-0.033
1707141,-0.03,-0.82,0.66142,-0.099
1707142,-0.033,-0.49,0.78398,-0.066
1707143,-0.011,-0.19,0.95628,-0.022
1707144,0.017,0.17,1,0.011
1707145,0.014,0.1,1,0.011
1707146,0.078,0.43,0.82667,0.055
1707147,-0.008,-0.06,1,-0.011
1707148,-0.045,-0.35,0.82667,-0.055
1707149,0.009,0.05,1,0.011
1707150,0.023,0.12,1,0.011
1707151,-0.008,-0.04,1,-0.011
1707152,0.004,0.02,1,0.011
1707153,1.376,3.95,0.58407,0.121
1707154,0.853,1.66,0.74256,0.077
1707155,0.892,1.97,0.74256,0.077
1707156,1.307,3.49,0.66142,0.099
1707157,0.485,1.66,0.74256,0.077
1707158,0.685,2.24,0.66142,0.099
1707159,2.087,3.29,0.51122,0.143
1707160,0.415,0.37,0.91281,0.033
1707161,2.752,1.79,0.58407,0.121
1707162,2.845,1.67,0.66142,0.099
1707163,2.939,1.71,0.66142,0.099
1707164,4.041,2.14,0.74256,0.077
1707165,4.24,1.72,0.66142,0.099
1707166,3.272,1.21,0.82667,0.055
1707167,3.724,1.33,0.82667,0.055
1707168,3.596,1.21,0.91281,0.033
1707169,3.711,1.27,0.82667,0.055
1707170,3.231,0.97,0.91281,0.033
1707171,4.99,1.37,0.74256,0.077
1707172,5.44,1.54,0.66142,0.099
1707173,4.559,1.23,0.74256,0.077
1707174,4.171,1.19,0.74256,0.077
1707175,3.31,1.02,0.74256,0.077
1707176,3.137,1.23,0.82667,0.055
1707177,2.656,0.98,0.82667,0.055
1707178,4.97,1.72,0.74256,0.077
1707179,2.415,0.91,0.66142,0.099
1707180,2.167,0.88,0.74256,0.077
1707181,3.297,1.2,0.74256,0.077
1707182,3.355,1.22,0.66142,0.099
1707183,1.691,0.69,0.82667,0.055
1707184,1.81,0.69,0.74256,0.077
1707185,6.018,1.81,0.91281,0.033
1707186,3.339,0.95,0.82667,0.055
1707187,4.738,1.4,0.91281,0.033
1707188,5.273,1.65,0.74256,0.077
1707189,2.11,0.79,0.74256,0.077
1707190,2.457,1.17,0.66142,0.099
1707191,2.19,1.07,0.74256,0.077
1707192,2.499,1.56,0.82667,0.055
1707193,1.693,1.28,0.82667,0.055
1707194,1.807,1.68,0.74256,0.077
1707195,0.995,1.12,0.74256,0.077
1707196,1.548,1.65,0.66142,0.099
1707197,1.288,1.48,0.74256,0.077
1707198,0.493,1.01,0.91281,0.033
1707199,1.117,3.36,0.58407,0.121
1707200,-0.948,-1.49,0.66142,-0.099
1707201,0.778,0.77,1,0.011
