"nie_malla_modi_id","sen_slope_presu","sen_slope_per_presu","p_value_presu","tau_presu"
1625526,0.168,0.34,1,0.011
1625527,0.138,0.29,1,0.011
1625528,0.957,2.14,0.91281,0.033
1625529,0.28,0.69,0.91281,0.033
1625530,0.127,0.3,0.91281,0.033
1625531,0.21,0.53,1,0.011
1625532,1.96,4.92,0.82667,0.055
1625533,1.512,3.64,0.58407,0.121
1625534,1.483,3.46,0.58407,0.121
1625535,1.51,3.47,0.58407,0.121
1625536,2.423,5.39,0.38107,0.187
1625537,2.542,5.64,0.38107,0.187
1625538,2.597,5.78,0.44342,0.165
1625539,2.188,5.14,0.44342,0.165
1625540,1.861,4.59,0.44342,0.165
1625541,1.862,4.8,0.44342,0.165
1625542,1.787,4.86,0.44342,0.165
1625543,1.784,4.88,0.44342,0.165
1625544,1.736,4.89,0.44342,0.165
1627925,0.205,0.4,1,0.011
1627926,0.195,0.38,1,0.011
1627927,0.182,0.36,1,0.011
1627928,0.158,0.32,1,0.011
1627929,0.13,0.28,1,0.011
1627930,0.773,1.77,0.91281,0.033
1627931,0.423,1,0.91281,0.033
1627932,0.016,0.04,1,0.011
1627933,0.82,1.98,0.91281,0.033
1627934,1.906,4.67,0.51122,0.143
1627935,1.45,3.38,0.58407,0.121
1627936,1.457,3.28,0.58407,0.121
1627937,1.493,3.36,0.58407,0.121
1627938,1.537,3.51,0.51122,0.143
1627939,2.14,4.97,0.44342,0.165
1627940,2.018,4.79,0.44342,0.165
1627941,1.929,4.7,0.44342,0.165
1627942,1.942,4.96,0.44342,0.165
1627943,1.687,4.49,0.44342,0.165
1627944,1.76,4.67,0.44342,0.165
1627945,1.78,4.83,0.44342,0.165
1627946,1.716,4.73,0.44342,0.165
1627947,1.643,4.59,0.44342,0.165
1627948,1.56,4.29,0.44342,0.165
1630328,0.194,0.37,1,0.011
1630329,0.178,0.35,1,0.011
1630330,0.155,0.31,1,0.011
1630331,0.123,0.27,1,0.011
1630332,0.7,1.61,0.91281,0.033
1630333,0.433,1.01,0.91281,0.033
1630334,1.65,4.02,0.58407,0.121
1630335,1.67,3.9,0.51122,0.143
1630336,2.073,4.93,0.51122,0.143
1630337,2.113,4.69,0.58407,0.121
1630338,1.443,3.22,0.58407,0.121
1630339,2.207,4.86,0.44342,0.165
1630340,2.517,5.8,0.38107,0.187
1630341,2.742,6.8,0.38107,0.187
1630342,2.582,6.47,0.38107,0.187
1630343,2.388,6.08,0.38107,0.187
1630344,1.728,4.57,0.44342,0.165
1630345,1.861,4.73,0.44342,0.165
1630346,1.845,4.65,0.44342,0.165
1630347,1.754,4.62,0.44342,0.165
1630348,1.731,4.72,0.44342,0.165
1630349,1.609,4.31,0.44342,0.165
1632730,0.191,0.36,1,0.011
1632731,0.172,0.34,1,0.011
1632732,0.145,0.3,1,0.011
1632733,0.119,0.26,1,0.011
1632734,0.12,0.26,0.91281,0.033
1632735,1.77,4.08,0.51122,0.143
1632736,1.597,3.75,0.51122,0.143
1632737,1.856,4.21,0.51122,0.143
1632738,2.256,5.08,0.58407,0.121
1632739,2.107,4.58,0.58407,0.121
1632740,2.303,5,0.58407,0.121
1632741,2.253,5.06,0.44342,0.165
1632742,2.513,5.86,0.38107,0.187
1632743,2.627,6.17,0.38107,0.187
1632744,2.802,6.73,0.38107,0.187
1632745,2.865,6.91,0.38107,0.187
1632746,2.577,6.39,0.38107,0.187
1632747,2.72,6.57,0.38107,0.187
1632748,2.418,6.02,0.38107,0.187
1632749,2.017,5.25,0.38107,0.187
1632750,1.785,4.66,0.44342,0.165
1632754,1.589,4.43,0.44342,0.165
1632755,1.557,4.29,0.44342,0.165
1632756,1.613,4.57,0.44342,0.165
1632775,1.218,3.31,0.58407,0.121
1635130,0.202,0.4,1,0.011
1635131,0.197,0.38,1,0.011
1635132,0.186,0.36,1,0.011
1635133,0.168,0.33,1,0.011
1635134,0.141,0.29,1,0.011
1635135,0.116,0.24,1,0.011
1635136,2.39,5.15,0.58407,0.121
1635137,2.01,4.52,0.51122,0.143
1635138,1.74,3.98,0.51122,0.143
1635139,2.014,4.42,0.58407,0.121
1635140,2.197,4.72,0.58407,0.121
1635141,2.367,5.02,0.58407,0.121
1635142,1.87,4,0.38107,0.187
1635143,2.275,5.19,0.38107,0.187
1635144,2.363,5.41,0.44342,0.165
1635145,2.34,5.26,0.44342,0.165
1635146,2.413,5.42,0.44342,0.165
1635147,2.692,6.3,0.38107,0.187
1635148,2.77,6.5,0.38107,0.187
1635149,2.893,6.87,0.38107,0.187
1635150,2.565,6.3,0.38107,0.187
1635151,2.268,5.74,0.38107,0.187
1635152,1.86,4.93,0.38107,0.187
1635154,1.755,4.96,0.38107,0.187
1635155,1.705,4.74,0.44342,0.165
1635156,1.672,4.57,0.44342,0.165
1635157,1.625,4.35,0.44342,0.165
1635158,1.716,4.74,0.44342,0.165
1635169,1.232,3.35,0.51122,0.143
1635170,1.223,3.31,0.58407,0.121
1635174,1.157,3.12,0.58407,0.121
1635175,1.195,3.2,0.58407,0.121
1635176,1.192,3.19,0.58407,0.121
1635177,1.27,3.35,0.58407,0.121
1635178,1.195,3.21,0.51122,0.143
1635180,1.173,3.11,0.51122,0.143
1635181,1.24,3.22,0.44342,0.165
1635184,1.21,3.25,0.51122,0.143
1635185,1.26,3.38,0.51122,0.143
1635208,0.268,0.7,0.82667,0.055
1635209,0.138,0.36,1,0.011
1635210,-0.047,-0.12,1,-0.011
1635211,-0.122,-0.32,0.91281,-0.033
1635212,-0.132,-0.35,0.91281,-0.033
1635213,-0.235,-0.64,0.82667,-0.055
1637531,1.54,2.98,0.66142,0.099
1637532,0.196,0.39,1,0.011
1637533,0.191,0.38,1,0.011
1637534,0.178,0.35,1,0.011
1637535,0.161,0.32,1,0.011
1637536,0.142,0.28,1,0.011
1637537,0.95,1.94,0.66142,0.099
1637538,2.48,5.38,0.58407,0.121
1637539,2.177,4.86,0.51122,0.143
1637540,2.003,4.47,0.51122,0.143
1637541,2.184,4.66,0.58407,0.121
1637542,2.31,4.84,0.58407,0.121
1637543,2.813,5.78,0.58407,0.121
1637544,1.828,3.86,0.38107,0.187
1637545,2.008,4.41,0.38107,0.187
1637546,2.078,4.57,0.44342,0.165
1637547,2.077,4.5,0.44342,0.165
1637548,2.252,4.97,0.44342,0.165
1637549,2.505,5.72,0.38107,0.187
1637550,2.727,6.41,0.38107,0.187
1637551,2.755,6.71,0.38107,0.187
1637552,2.605,6.41,0.38107,0.187
1637553,2.308,5.85,0.38107,0.187
1637554,1.88,5,0.38107,0.187
1637555,1.743,4.71,0.38107,0.187
1637556,1.72,4.66,0.38107,0.187
1637557,1.758,4.68,0.44342,0.165
1637558,1.8,4.74,0.44342,0.165
1637559,1.743,4.61,0.44342,0.165
1637560,1.703,4.57,0.44342,0.165
1637566,1.397,3.71,0.38107,0.187
1637567,1.698,4.33,0.38107,0.187
1637571,1.268,3.34,0.51122,0.143
1637576,1.263,3.32,0.51122,0.143
1637577,1.21,3.12,0.44342,0.165
1637578,1.21,3.12,0.51122,0.143
1637579,1.167,2.95,0.44342,0.165
1637580,1.203,3.09,0.44342,0.165
1637584,1.27,3.23,0.44342,0.165
1637585,1.433,3.65,0.44342,0.165
1637586,1.562,3.93,0.44342,0.165
1637587,1.355,3.54,0.51122,0.143
1637594,0.533,1.26,0.58407,0.121
1637607,0.278,0.7,1,0.011
1637608,0.102,0.26,0.74256,0.077
1637609,0.197,0.51,0.91281,0.033
1637610,0.232,0.6,0.91281,0.033
1637611,0.09,0.24,1,0.011
1637612,-0.055,-0.14,1,-0.011
1637613,-0.111,-0.29,0.91281,-0.033
1637614,-0.063,-0.17,0.91281,-0.033
1637615,-0.165,-0.44,0.91281,-0.033
