"nie_malla_modi_id","sen_slope_prewi","sen_slope_per_prewi","p_value_prewi","tau_prewi"
1630340,3.539,2.1,0.58407,0.121
1630341,2.69,1.79,0.82667,0.055
1630342,2.173,1.48,0.91281,0.033
1630343,1.671,1.17,0.91281,0.033
1630344,2.596,2.01,0.74256,0.077
1630345,2.79,2.02,0.66142,0.099
1630346,2.44,1.74,0.58407,0.121
1630347,1.552,1.19,0.82667,0.055
1630348,1.118,0.91,0.91281,0.033
1630349,1.188,0.93,0.91281,0.033
1632730,8.908,3.09,0.66142,0.099
1632731,8.018,2.96,0.74256,0.077
1632732,7.102,2.79,0.74256,0.077
1632733,6.262,2.59,0.66142,0.099
1632734,5.61,2.37,0.66142,0.099
1632735,3.473,1.67,0.58407,0.121
1632736,2.962,1.48,0.66142,0.099
1632737,4.26,2.06,0.58407,0.121
1632738,4.603,2.24,0.51122,0.143
1632739,4.501,2.12,0.51122,0.143
1632740,4.161,1.98,0.51122,0.143
1632741,3.916,2.22,0.58407,0.121
1632742,3.483,2.1,0.58407,0.121
1632743,3.333,2.04,0.58407,0.121
1632744,3.059,1.94,0.66142,0.099
1632745,2.647,1.7,0.66142,0.099
1632746,1.938,1.3,0.82667,0.055
1632747,2.175,1.41,0.58407,0.121
1632748,1.828,1.24,0.74256,0.077
1632749,1.345,0.99,0.91281,0.033
1632750,1.587,1.2,0.82667,0.055
1632754,0.72,0.6,0.91281,0.033
1632755,0.775,0.64,1,0.011
1632756,1.06,0.91,0.91281,0.033
1632775,1.777,1.65,0.58407,0.121
1635130,9.347,3.38,0.58407,0.121
1635131,9.088,3.21,0.66142,0.099
1635132,8.66,3.05,0.66142,0.099
1635133,7.983,2.89,0.66142,0.099
1635134,7.052,2.74,0.74256,0.077
1635135,6.457,2.53,0.74256,0.077
1635136,4.427,1.94,0.58407,0.121
1635137,3.647,1.71,0.58407,0.121
1635138,3.748,1.81,0.58407,0.121
1635139,5.047,2.34,0.51122,0.143
1635140,4.82,2.21,0.51122,0.143
1635141,4.597,2.09,0.51122,0.143
1635142,4.513,2.38,0.58407,0.121
1635143,3.8,2.2,0.58407,0.121
1635144,3.713,2.17,0.58407,0.121
1635145,3.833,2.19,0.58407,0.121
1635146,3.766,2.16,0.58407,0.121
1635147,3.292,2.01,0.58407,0.121
1635148,3.03,1.86,0.58407,0.121
1635149,2.497,1.57,0.58407,0.121
1635150,1.999,1.33,0.66142,0.099
1635151,1.662,1.16,0.82667,0.055
1635152,1.167,0.88,1,0.011
1635154,1.151,0.98,0.91281,0.033
1635155,0.67,0.55,0.91281,0.033
1635156,0.995,0.81,1,0.011
1635157,1.166,0.92,0.91281,0.033
1635158,0.9,0.74,1,0.011
1635169,1.857,1.71,0.66142,0.099
1635170,1.793,1.66,0.58407,0.121
1635174,1.637,1.52,0.66142,0.099
1635175,1.782,1.63,0.58407,0.121
1635176,1.845,1.68,0.66142,0.099
1635177,2.17,1.91,0.66142,0.099
1635178,1.977,1.79,0.66142,0.099
1635180,2.308,2.04,0.66142,0.099
1635181,2.1,1.76,0.66142,0.099
1635184,1.975,1.75,0.51122,0.143
1635185,2.061,1.81,0.51122,0.143
1635208,1.372,1.21,0.58407,0.121
1635209,1.178,1.05,0.51122,0.143
1635210,1.068,0.98,0.51122,0.143
