"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1649622",-3.61,-0.8,0.82667,-0.055
"1649623",-3.73,-0.85,0.82667,-0.055
"1649624",-3.88,-0.9,0.82667,-0.055
"1649625",-4.04,-0.92,0.82667,-0.055
"1649626",-3.904,-0.94,0.82667,-0.055
"1649627",-4.101,-1.1,0.74256,-0.077
"1649628",-4.177,-1.17,0.66142,-0.099
"1649629",-4.177,-1.23,0.66142,-0.099
"1649630",-4.152,-1.25,0.66142,-0.099
"1649631",-4.123,-1.28,0.66142,-0.099
"1649632",-4.085,-1.29,0.66142,-0.099
"1649633",-4.039,-1.31,0.66142,-0.099
"1649634",-4.018,-1.32,0.66142,-0.099
"1649635",-4,-1.34,0.66142,-0.099
"1649636",-4.729,-1.62,0.74256,-0.077
"1649637",-4.87,-1.69,0.74256,-0.077
"1649638",-4.697,-1.58,0.74256,-0.077
"1649639",-3.945,-1.37,0.74256,-0.077
"1649640",-3.77,-1.32,0.66142,-0.099
"1649641",-3.768,-1.32,0.66142,-0.099
"1649642",-3.799,-1.34,0.74256,-0.077
"1649643",-3.883,-1.4,0.82667,-0.055
"1649644",-1.558,-0.53,0.82667,-0.055
"1649645",-1.844,-0.61,0.82667,-0.055
"1651907",3.224,0.48,0.91281,0.033
"1651908",3.217,0.5,0.91281,0.033
"1651909",3.204,0.48,0.91281,0.033
"1651910",3.187,0.48,0.91281,0.033
"1651912",2.531,0.37,0.91281,0.033
"1651941",7.369,0.94,0.58407,0.121
"1651942",6.779,0.89,0.58407,0.121
"1651943",6.349,0.86,0.58407,0.121
"1651944",6.703,0.88,0.58407,0.121
"1651945",6.92,0.88,0.58407,0.121
"1651946",0.756,0.11,1,0.011
"1651947",0.701,0.1,1,0.011
"1651948",0.792,0.12,1,0.011
"1651949",0.662,0.09,1,0.011
"1651950",0.539,0.07,1,0.011
"1651951",0.354,0.05,1,0.011
"1651952",0.188,0.02,1,0.011
"1651953",0.229,0.03,1,0.011
"1651954",0.448,0.06,1,0.011
"1651955",0.672,0.1,1,0.011
"1651956",0.013,0,1,0.011
"1651957",0.21,0.03,0.91281,0.033
"1651958",0.476,0.08,1,0.011
"1651959",-1.18,-0.21,1,-0.011
"1651960",-2.237,-0.43,1,-0.011
"1651961",-2.294,-0.44,1,-0.011
"1651962",-2.169,-0.41,1,-0.011
"1651963",-2.17,-0.42,1,-0.011
"1651964",-2.257,-0.47,0.91281,-0.033
"1651965",-2.324,-0.52,0.82667,-0.055
"1651966",-1.984,-0.4,1,-0.011
"1651967",-1.812,-0.35,1,-0.011
"1651968",-1.717,-0.33,1,-0.011
"1651969",-1.784,-0.36,0.91281,-0.033
"1651970",-2.249,-0.49,0.82667,-0.055
"1651971",-2.063,-0.44,0.82667,-0.055
"1651972",-1.703,-0.35,0.91281,-0.033
"1651973",-1.609,-0.32,0.91281,-0.033
"1651974",-3.319,-0.72,0.82667,-0.055
"1651975",-3.777,-0.83,0.82667,-0.055
"1651976",-2.891,-0.59,0.91281,-0.033
"1651977",-2.074,-0.4,0.91281,-0.033
"1651978",-2.451,-0.47,0.91281,-0.033
"1651979",-3.603,-0.71,0.91281,-0.033
"1651980",-5.767,-1.23,0.74256,-0.077
"1651981",-7.518,-1.76,0.58407,-0.121
"1651982",-7.644,-1.73,0.66142,-0.099
"1651983",-7.57,-1.67,0.66142,-0.099
"1651984",-7.981,-1.8,0.66142,-0.099
"1651985",-8.03,-1.82,0.58407,-0.121
"1651986",-7.526,-1.88,0.58407,-0.121
"1651987",-7.954,-1.84,0.58407,-0.121
"1651988",-7.509,-1.59,0.66142,-0.099
"1651989",-7.19,-1.56,0.66142,-0.099
"1651990",-6.257,-1.28,0.66142,-0.099
"1651991",-5.361,-1.04,0.74256,-0.077
"1651992",-5.787,-1.21,0.66142,-0.099
"1651993",-5.356,-1.12,0.74256,-0.077
"1651994",-5.596,-1.26,0.66142,-0.099
"1651995",-5.176,-1.19,0.66142,-0.099
"1651996",-3.21,-0.65,0.74256,-0.077
"1651997",-1.589,-0.3,0.91281,-0.033
"1651998",-1.786,-0.36,0.74256,-0.077
"1651999",-2.33,-0.51,0.74256,-0.077
"1652000",-1.683,-0.35,0.74256,-0.077
"1652001",-4.035,-0.75,0.82667,-0.055
"1652002",-6.851,-1.24,0.82667,-0.055
"1652003",-7.273,-1.33,0.91281,-0.033
"1652004",-7.177,-1.38,0.91281,-0.033
"1652005",-6.964,-1.39,0.91281,-0.033
"1652006",-6.756,-1.41,1,-0.011
"1652007",-6.564,-1.39,0.91281,-0.033
"1652008",-6.361,-1.45,0.82667,-0.055
"1652009",-0.807,-0.17,0.82667,-0.055
"1652010",-0.803,-0.17,1,-0.011
"1652011",-0.91,-0.19,1,-0.011
"1652012",-0.646,-0.12,1,-0.011
"1652013",-0.297,-0.05,1,-0.011
"1652014",-0.783,-0.15,0.82667,-0.055
"1652015",-2.276,-0.48,0.82667,-0.055
"1652016",-3.714,-0.83,0.82667,-0.055
"1652017",-4.436,-1.11,0.66142,-0.099
"1652018",-5.066,-1.16,0.74256,-0.077
"1652019",-4.888,-1.14,0.74256,-0.077
"1652020",-4.936,-1.07,0.82667,-0.055
"1652021",-4.67,-0.95,0.82667,-0.055
"1652022",-3.79,-0.77,0.82667,-0.055
"1652023",-3.786,-0.8,0.82667,-0.055
"1652024",-3.49,-0.77,0.82667,-0.055
"1652025",-3.66,-0.8,0.82667,-0.055
"1652026",-3.7,-0.83,0.82667,-0.055
"1652027",-3.94,-0.9,0.82667,-0.055
"1652028",-3.99,-0.94,0.82667,-0.055
"1652029",-3.921,-0.95,0.82667,-0.055
"1652030",-3.937,-1.01,0.74256,-0.077
"1652031",-4.08,-1.12,0.74256,-0.077
"1652032",-4.137,-1.2,0.66142,-0.099
"1652033",-4.098,-1.23,0.66142,-0.099
"1652034",-4.06,-1.24,0.66142,-0.099
"1652035",-4.006,-1.26,0.66142,-0.099
"1652036",-3.966,-1.27,0.66142,-0.099
"1652037",-3.949,-1.3,0.66142,-0.099
"1652038",-4.716,-1.59,0.74256,-0.077
"1652039",-4.717,-1.59,0.74256,-0.077
"1652040",-4.621,-1.53,0.74256,-0.077
"1652041",-4.6,-1.51,0.74256,-0.077
"1652042",-3.727,-1.26,0.66142,-0.099
"1652043",-3.771,-1.33,0.66142,-0.099
"1652044",-3.742,-1.31,0.74256,-0.077
"1652045",-1.712,-0.57,0.82667,-0.055
"1652046",-1.591,-0.53,0.82667,-0.055
"1652047",-2.003,-0.67,0.91281,-0.033
