"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1671173,-0.041,-0.26,0.78398,-0.066
1671174,-0.045,-0.28,0.82667,-0.055
1671175,-0.048,-0.28,0.82667,-0.055
1671176,-0.049,-0.28,0.82667,-0.055
1671177,-0.047,-0.26,0.78398,-0.066
1671178,-0.05,-0.28,0.66142,-0.099
1671179,-0.052,-0.29,0.66142,-0.099
1671180,-0.06,-0.35,0.74256,-0.077
1671181,-0.06,-0.34,0.66142,-0.099
1671182,-0.06,-0.35,0.74256,-0.077
1671183,-0.058,-0.34,0.74256,-0.077
1671184,-0.05,-0.28,0.74256,-0.077
1671185,-0.052,-0.29,0.66142,-0.099
1671186,-0.052,-0.28,0.66142,-0.099
1671187,-0.049,-0.27,0.70113,-0.088
1671188,-0.049,-0.26,0.74256,-0.077
1671189,-0.044,-0.24,0.74256,-0.077
1671190,-0.036,-0.19,0.82667,-0.055
1671191,-0.03,-0.15,0.82667,-0.055
1671192,-0.027,-0.14,0.82667,-0.055
1671193,-0.026,-0.14,0.82667,-0.055
1671194,-0.024,-0.13,0.82667,-0.055
1671195,-0.024,-0.12,0.74256,-0.077
1671196,-0.013,-0.07,0.82667,-0.055
1671197,-0.005,-0.02,1,-0.011
1671198,-0.008,-0.04,1,-0.011
1671199,-0.005,-0.02,1,-0.011
1671200,0.012,0.06,0.91281,0.033
1671201,0.012,0.06,0.91281,0.033
1671202,0.006,0.03,0.91281,0.033
1671203,0.002,0.01,1,0.011
1671204,0,0,1,0
1671205,-0.002,-0.01,1,-0.011
1671206,-0.005,-0.02,1,-0.011
1671207,-0.004,-0.02,1,-0.011
1671208,0.002,0.01,1,0.011
1671209,0.013,0.07,1,0.011
1671210,0.003,0.01,1,0.011
1671211,-0.019,-0.1,0.91281,-0.033
1671212,0.008,0.04,1,0.011
1671213,0.005,0.03,1,0.011
1671214,0.001,0.01,1,0.011
1671215,-0.002,-0.01,1,-0.011
1671216,-0.007,-0.04,0.91281,-0.033
1671217,0.002,0.01,1,0.011
1671218,-0.007,-0.04,0.95628,-0.022
1671219,-0.01,-0.05,0.91281,-0.033
1671220,-0.013,-0.07,0.91281,-0.033
1671221,-0.013,-0.07,0.91281,-0.033
1671222,-0.017,-0.09,0.95628,-0.022
1671223,-0.007,-0.04,1,-0.011
1671224,0,0,1,0
1671225,-0.007,-0.04,1,-0.011
1671226,-0.003,-0.02,1,-0.011
1671227,-0.013,-0.07,1,-0.011
1671228,-0.013,-0.07,0.86935,-0.044
1671229,-0.01,-0.05,0.91281,-0.033
1671230,-0.008,-0.04,0.91281,-0.033
1671231,-0.022,-0.11,0.82667,-0.055
1671232,-0.021,-0.1,0.6217,-0.11
1671233,-0.024,-0.12,0.70113,-0.088
1671234,-0.026,-0.13,0.74256,-0.077
1671235,-0.028,-0.13,0.54644,-0.132
1671236,-0.031,-0.15,0.58407,-0.121
1671237,-0.029,-0.15,0.6217,-0.11
1671238,-0.03,-0.15,0.51122,-0.143
1671239,-0.031,-0.15,0.476,-0.154
1671240,-0.031,-0.15,0.58407,-0.121
1671241,-0.049,-0.23,0.58407,-0.121
1671242,-0.043,-0.2,0.51122,-0.143
1671243,-0.05,-0.23,0.51122,-0.143
1671244,-0.05,-0.22,0.44342,-0.165
1671245,-0.06,-0.26,0.44342,-0.165
1671246,-0.056,-0.24,0.44342,-0.165
1671247,-0.053,-0.24,0.44342,-0.165
1671248,-0.056,-0.24,0.41085,-0.176
1671249,-0.062,-0.26,0.476,-0.154
1671250,-0.06,-0.25,0.476,-0.154
1671251,-0.056,-0.23,0.44342,-0.165
1671252,-0.055,-0.23,0.476,-0.154
1671253,-0.06,-0.26,0.38107,-0.187
1671254,-0.057,-0.25,0.44342,-0.165
1671255,-0.053,-0.23,0.41085,-0.176
1671256,-0.057,-0.25,0.41085,-0.176
1671257,-0.06,-0.26,0.38107,-0.187
1671258,-0.055,-0.24,0.38107,-0.187
1671259,-0.061,-0.26,0.38107,-0.187
1671260,-0.061,-0.26,0.38107,-0.187
1671261,-0.058,-0.25,0.44342,-0.165
1671262,-0.061,-0.26,0.44342,-0.165
1671263,-0.058,-0.25,0.51122,-0.143
1671264,-0.054,-0.23,0.51122,-0.143
1671265,-0.058,-0.25,0.51122,-0.143
1671266,-0.072,-0.3,0.51122,-0.143
1671267,-0.067,-0.28,0.51122,-0.143
1671268,-0.078,-0.32,0.51122,-0.143
1671269,-0.079,-0.32,0.41085,-0.176
1671270,-0.08,-0.33,0.51122,-0.143
1671271,-0.078,-0.33,0.51122,-0.143
1671272,-0.079,-0.33,0.51122,-0.143
1671273,-0.08,-0.33,0.44342,-0.165
1671274,-0.08,-0.32,0.38107,-0.187
1671275,-0.079,-0.31,0.38107,-0.187
1671276,-0.079,-0.3,0.32442,-0.209
1671277,-0.078,-0.3,0.32442,-0.209
1671278,-0.078,-0.3,0.32442,-0.209
1671279,-0.078,-0.3,0.32442,-0.209
1671280,-0.077,-0.29,0.32442,-0.209
1671281,-0.077,-0.29,0.32442,-0.209
1671282,-0.088,-0.33,0.44342,-0.165
1673508,-0.005,-0.02,0.91281,-0.033
1673509,-0.005,-0.02,0.82667,-0.055
1673510,-0.004,-0.02,0.91255,-0.033
1673511,-0.005,-0.02,1,-0.011
1673512,-0.005,-0.02,1,-0.011
1673513,-0.005,-0.02,0.95628,-0.022
1673514,-0.005,-0.02,0.91281,-0.033
1673515,-0.005,-0.02,0.91281,-0.033
1673517,-0.008,-0.04,0.82667,-0.055
1673518,-0.01,-0.05,0.82667,-0.055
1673519,-0.012,-0.06,0.86935,-0.044
1673520,-0.015,-0.08,0.82667,-0.055
1673521,-0.014,-0.07,0.86935,-0.044
1673522,-0.013,-0.07,0.91281,-0.033
