"nie_malla_modi_id","sen_slope_preau","sen_slope_per_preau","p_value_preau","tau_preau"
1666330,2.154,0.68,0.91281,0.033
1666331,1.789,0.55,0.91281,0.033
1666332,1.666,0.51,0.91281,0.033
1666333,1.521,0.46,0.91281,0.033
1666334,1.512,0.46,0.91281,0.033
1666335,1.862,0.58,0.91281,0.033
1666336,1.897,0.61,0.91281,0.033
1666338,2.678,0.97,0.91281,0.033
1666339,3.219,1.24,0.91281,0.033
1666340,3.046,1.18,0.91281,0.033
1666341,-0.359,-0.12,0.82667,-0.055
1666342,-0.397,-0.13,0.91281,-0.033
1666343,-0.34,-0.11,0.91281,-0.033
1666344,-0.376,-0.13,0.91281,-0.033
1666345,-0.481,-0.18,0.91281,-0.033
1666346,-0.77,-0.32,0.91281,-0.033
1666347,-0.499,-0.19,0.91281,-0.033
1666348,-1.132,-0.42,0.91281,-0.033
1666349,-1.41,-0.49,0.91281,-0.033
1666350,-1.55,-0.52,0.91281,-0.033
1666351,-1.642,-0.54,0.91281,-0.033
1666352,-1.733,-0.55,0.91281,-0.033
1666353,-1.775,-0.56,0.91281,-0.033
1666354,-1.82,-0.57,0.91281,-0.033
1666355,-1.667,-0.54,0.91281,-0.033
1666356,-1.828,-0.57,0.91281,-0.033
1666357,-2.123,-0.62,1,-0.011
1666358,-2.247,-0.62,1,-0.011
1666359,-2.233,-0.6,1,-0.011
1666360,-1.33,-0.38,1,-0.011
1666361,-1.35,-0.39,1,-0.011
1666362,-1.267,-0.36,1,-0.011
1666363,-1.24,-0.35,1,-0.011
1666364,-1.273,-0.37,1,-0.011
1666365,-1.267,-0.38,1,-0.011
1666366,-1.297,-0.4,1,-0.011
1666367,-1.293,-0.41,1,-0.011
1666368,-1.327,-0.43,0.91281,-0.033
1666369,-1.343,-0.46,0.91281,-0.033
1666370,-1.393,-0.5,1,-0.011
1666371,-0.903,-0.36,0.91281,-0.033
1666372,-0.937,-0.39,0.91281,-0.033
1666373,-1.013,-0.46,0.91281,-0.033
1666374,-1.273,-0.59,0.91281,-0.033
1666375,-1.153,-0.52,0.91281,-0.033
1666376,-0.917,-0.43,0.91281,-0.033
1666377,-0.776,-0.36,0.91281,-0.033
1666378,-0.776,-0.34,0.91281,-0.033
1666379,-0.643,-0.28,0.91281,-0.033
1666380,-0.299,-0.14,0.91281,-0.033
1666381,-0.082,-0.04,1,-0.011
1666382,-0.051,-0.02,1,-0.011
1666383,0.012,0.01,1,0.011
1666384,0.179,0.08,1,0.011
1666385,0.214,0.1,1,0.011
1666386,0.124,0.06,1,0.011
1666387,-0.123,-0.06,1,-0.011
1666388,0.04,0.02,1,0.011
1666389,0.115,0.05,1,0.011
1666390,-0.092,-0.04,1,-0.011
1666391,-0.14,-0.07,1,-0.011
1666392,-0.02,-0.01,1,-0.011
1666393,-0.063,-0.03,1,-0.011
1666394,-0.207,-0.11,1,-0.011
1666395,0.199,0.11,1,0.011
1666396,0.482,0.28,1,0.011
1666397,0.4,0.22,1,0.011
1666398,0.586,0.33,1,0.011
1666399,0.044,0.03,1,0.011
1666400,0.94,0.49,0.91281,0.033
1666401,0.68,0.33,0.91281,0.033
1666402,0.272,0.13,0.91281,0.033
1666403,0.04,0.02,1,0.011
1666404,-0.066,-0.03,1,-0.011
1666405,0.315,0.15,0.91281,0.033
1666406,0.47,0.22,0.91281,0.033
1666407,0.222,0.1,0.91281,0.033
1666408,0.306,0.14,1,0.011
1666409,-0.083,-0.04,1,-0.011
1666410,0.082,0.04,1,0.011
1666411,0.213,0.1,1,0.011
1666412,-0.73,-0.33,1,-0.011
1666413,-0.888,-0.39,1,-0.011
1666414,-1.042,-0.45,0.74256,-0.077
1666415,-1.609,-0.72,0.82667,-0.055
1666416,-1.929,-0.93,0.82667,-0.055
1666417,-2.176,-1.09,0.82667,-0.055
1666418,-2.333,-1.14,0.82667,-0.055
1666419,-2.479,-1.19,0.82667,-0.055
1666420,-2.661,-1.3,0.74256,-0.077
1666421,-2.767,-1.32,0.82667,-0.055
1666422,-2.997,-1.42,0.82667,-0.055
1666423,-3.166,-1.44,0.74256,-0.077
1666424,-3.13,-1.5,0.74256,-0.077
1666425,-3.179,-1.65,0.74256,-0.077
1666426,-3.216,-1.69,0.74256,-0.077
1666427,-2.634,-1.29,0.74256,-0.077
1666428,-2.882,-1.42,0.74256,-0.077
1666429,-3.152,-1.56,0.74256,-0.077
1666430,-3.384,-1.61,0.74256,-0.077
1666431,-3.333,-1.66,0.74256,-0.077
1666432,-3.14,-1.51,0.66142,-0.099
1666433,-2.941,-1.35,0.66142,-0.099
1666434,-2.779,-1.27,0.66142,-0.099
1666435,-2.679,-1.26,0.74256,-0.077
1666436,-2.566,-1.29,0.74256,-0.077
1666437,-2.45,-1.18,0.74256,-0.077
1666438,-2.33,-1.13,0.66142,-0.099
1666439,-2.187,-1.14,0.58407,-0.121
1666440,-2.35,-1.23,0.58407,-0.121
1666441,-2.533,-1.41,0.66142,-0.099
1666442,-2.123,-1.28,0.66142,-0.099
1666443,-2.078,-1.36,0.58407,-0.121
1666444,-1.922,-1.38,0.58407,-0.121
1666445,-2.293,-1.69,0.51122,-0.143
1666446,-2.374,-1.78,0.51122,-0.143
1666447,-2.449,-1.9,0.51122,-0.143
1666448,-2.433,-1.85,0.44342,-0.165
1666449,-2.123,-1.53,0.51122,-0.143
1666450,-2.296,-1.6,0.44342,-0.165
1666451,-1.737,-1.21,0.74256,-0.077
1666452,-1.886,-1.36,0.74256,-0.077
1666453,-2.04,-1.41,0.66142,-0.099
1666454,-2.33,-1.62,0.58407,-0.121
1666455,-3.17,-2.1,0.58407,-0.121
1666456,-3.64,-2.38,0.58407,-0.121
1666457,-3.415,-2.25,0.58407,-0.121
1666458,-3.128,-2.05,0.58407,-0.121
1666459,-3.347,-2.17,0.58407,-0.121
1666460,-3.433,-2.11,0.66142,-0.099
1666461,-3.498,-2.37,0.66142,-0.099
1666462,-2.985,-2.22,0.58407,-0.121
1666463,-2.764,-2.29,0.66142,-0.099
1666464,-2.849,-2.47,0.58407,-0.121
1666465,-2.64,-2.03,0.74256,-0.077
1666466,-2.261,-1.61,0.66142,-0.099
1666467,-2.097,-1.54,0.82667,-0.055
1666468,-2.213,-1.68,0.82667,-0.055
1666469,-1.975,-1.62,0.82667,-0.055
1666470,-1.7,-1.56,0.82667,-0.055
1666471,-1.48,-1.47,0.74256,-0.077
1666472,-1.322,-1.36,0.74256,-0.077
1666473,-1.14,-1.24,0.66142,-0.099
1666475,-1.251,-1.45,0.74256,-0.077
1668702,3.172,2,0.66142,0.099
1668703,2.01,1.23,0.74256,0.077
1668704,1.2,0.72,0.74256,0.077
1668705,1.229,0.71,0.74256,0.077
1668706,1.324,0.74,0.74256,0.077
1668707,1.679,0.91,0.74256,0.077
1668708,2.19,1.15,0.74256,0.077
1668709,2.337,1.21,0.74256,0.077
1668710,2.78,1.4,0.74256,0.077
1668713,2.349,1.07,0.82667,0.055
1668714,1.96,0.85,0.82667,0.055
1668715,3.32,1.34,0.82667,0.055
1668716,2.197,0.87,0.82667,0.055
1668717,2.26,0.88,0.82667,0.055
1668718,2.71,1.1,0.82667,0.055
1668719,2.183,0.9,0.82667,0.055
1668720,2.373,0.89,0.91281,0.033
1668721,2.437,0.88,0.91281,0.033
1668722,2.263,0.88,0.82667,0.055
1668723,2.223,0.88,0.82667,0.055
1668724,3.683,1.53,0.74256,0.077
1668725,2.8,1.2,0.66142,0.099
1668726,2.12,0.85,0.74256,0.077
1668727,2.163,0.83,0.82667,0.055
1668728,2.02,0.73,0.91281,0.033
1668729,2,0.72,0.91281,0.033
1668730,2.003,0.69,0.91281,0.033
1668731,2.03,0.68,0.91281,0.033
1668732,2.03,0.66,0.91281,0.033
1668733,1.94,0.62,0.91281,0.033
1668734,1.449,0.44,0.91281,0.033
1668735,1.389,0.42,0.91281,0.033
1668736,1.469,0.43,0.91281,0.033
1668737,1.49,0.44,0.91281,0.033
1668738,1.421,0.43,0.91281,0.033
1668739,-0.067,-0.02,1,-0.011
1668741,0.477,0.18,1,0.011
1668742,-0.54,-0.19,0.91281,-0.033
1668743,-0.717,-0.23,0.91281,-0.033
1668744,-1.477,-0.46,0.91281,-0.033
1668745,-1.527,-0.48,0.91281,-0.033
1668746,-0.98,-0.33,0.91281,-0.033
1668747,-0.366,-0.13,0.91281,-0.033
1668748,-0.536,-0.21,0.91281,-0.033
1668749,-0.693,-0.29,0.91281,-0.033
1668750,-1.027,-0.39,0.91281,-0.033
1668751,-1.318,-0.47,0.91281,-0.033
1668752,-1.618,-0.53,0.91281,-0.033
1668753,-1.888,-0.58,1,-0.011
1668754,-1.957,-0.59,1,-0.011
1668755,-2.022,-0.61,1,-0.011
1668756,-2.062,-0.61,1,-0.011
1668757,-1.99,-0.6,1,-0.011
1668758,-2.053,-0.61,1,-0.011
1668759,-2.012,-0.6,0.91281,-0.033
1668760,-2.26,-0.62,1,-0.011
1668761,-2.183,-0.56,1,-0.011
1668762,-2.173,-0.56,1,-0.011
1668763,-1.407,-0.41,1,-0.011
1668764,-1.373,-0.4,1,-0.011
1668765,-1.293,-0.36,1,-0.011
1668766,-1.323,-0.38,1,-0.011
1668767,-1.337,-0.39,1,-0.011
1668768,-1.333,-0.39,1,-0.011
1668769,-1.367,-0.42,1,-0.011
1668770,-1.387,-0.44,1,-0.011
1668771,-1.407,-0.47,0.91281,-0.033
1668772,-1.443,-0.5,1,-0.011
1668773,-1.473,-0.54,1,-0.011
1668774,-0.881,-0.36,0.91281,-0.033
1668775,-1.037,-0.44,0.91281,-0.033
1668776,-0.967,-0.41,0.91281,-0.033
1668777,-0.967,-0.42,0.91281,-0.033
1668778,-0.907,-0.4,0.91281,-0.033
1668779,-0.813,-0.34,0.91281,-0.033
1668780,-1.02,-0.42,0.91281,-0.033
1668781,-1.158,-0.47,0.91281,-0.033
1668782,-0.799,-0.35,0.91281,-0.033
1668783,-0.586,-0.26,0.91281,-0.033
1668784,-0.49,-0.21,0.91281,-0.033
1668785,-0.387,-0.17,0.91281,-0.033
1668786,-0.154,-0.07,0.91281,-0.033
1668787,0.031,0.01,1,0.011
1668788,0.119,0.06,1,0.011
1668789,0.166,0.08,1,0.011
1668790,0.247,0.11,1,0.011
1668791,0.16,0.07,1,0.011
1668792,0.26,0.11,1,0.011
1668793,0.148,0.07,1,0.011
1668794,-0.112,-0.05,1,-0.011
1668795,-0.157,-0.08,1,-0.011
1668796,0.33,0.17,1,0.011
1668797,0.04,0.02,1,0.011
1668798,-0.16,-0.08,1,-0.011
1668799,-0.087,-0.04,1,-0.011
1668800,-0.097,-0.05,1,-0.011
1668801,0.487,0.28,1,0.011
1668802,0.834,0.46,0.91281,0.033
1668803,0.918,0.48,0.91281,0.033
1668804,0.693,0.34,0.91281,0.033
1668805,-0.063,-0.03,1,-0.011
1668806,0.03,0.01,1,0.011
1668807,0.132,0.06,0.91281,0.033
1668808,0.25,0.12,0.91281,0.033
1668809,0.269,0.12,1,0.011
1668810,0.07,0.03,1,0.011
1668811,-0.283,-0.12,1,-0.011
1668812,-0.177,-0.08,1,-0.011
1668813,0.031,0.01,1,0.011
1668814,-0.928,-0.4,0.91281,-0.033
1668815,-1.124,-0.46,0.82667,-0.055
1668816,-1.573,-0.68,0.82667,-0.055
1668817,-1.823,-0.81,0.82667,-0.055
1668818,-2.057,-0.93,0.82667,-0.055
1668819,-2.269,-1.03,0.82667,-0.055
1668820,-2.461,-1.12,0.82667,-0.055
1668821,-2.742,-1.23,0.82667,-0.055
1668822,-3.068,-1.38,0.82667,-0.055
1668823,-3.345,-1.5,0.82667,-0.055
1668824,-2.966,-1.29,0.74256,-0.077
1668825,-3.061,-1.33,0.74256,-0.077
1668826,-2.532,-1.19,0.82667,-0.055
1668827,-2.18,-1.06,0.74256,-0.077
1668828,-3.234,-1.44,0.82667,-0.055
1668829,-2.692,-1.25,0.82667,-0.055
1668830,-2.19,-1.06,0.74256,-0.077
1668831,-3.262,-1.53,0.82667,-0.055
1668832,-3.541,-1.6,0.82667,-0.055
1668833,-3.474,-1.62,0.82667,-0.055
1668834,-3.293,-1.48,0.82667,-0.055
1668835,-3.107,-1.38,0.82667,-0.055
1668836,-3.004,-1.31,0.74256,-0.077
1668837,-2.887,-1.33,0.66142,-0.099
1668838,-2.62,-1.26,0.66142,-0.099
1668839,-2.594,-1.19,0.74256,-0.077
1668840,-2.511,-1.18,0.74256,-0.077
1668841,-2.079,-1.05,0.58407,-0.121
1668842,-2.287,-1.24,0.66142,-0.099
1668843,-2.151,-1.22,0.66142,-0.099
1668844,-2.256,-1.39,0.66142,-0.099
1668845,-2.371,-1.59,0.51122,-0.143
1668846,-2.196,-1.39,0.66142,-0.099
1668847,-2.239,-1.46,0.58407,-0.121
1668848,-2.285,-1.68,0.38107,-0.187
1668849,-2.38,-1.67,0.44342,-0.165
1668850,-2.389,-1.67,0.44342,-0.165
1668851,-2.204,-1.43,0.66142,-0.099
1668852,-2.169,-1.39,0.58407,-0.121
1668853,-2.32,-1.44,0.58407,-0.121
1668854,-2.77,-1.84,0.66142,-0.099
1668855,-3.34,-2.18,0.58407,-0.121
1668856,-3.75,-2.43,0.58407,-0.121
1668857,-3.885,-2.55,0.58407,-0.121
1668858,-4.208,-2.73,0.58407,-0.121
1668859,-3.75,-2.45,0.58407,-0.121
1668860,-3.42,-2.28,0.58407,-0.121
1668861,-3.617,-2.3,0.58407,-0.121
1668862,-3.593,-2.2,0.66142,-0.099
1668863,-3.658,-2.48,0.66142,-0.099
1668864,-3.528,-2.5,0.66142,-0.099
1668865,-2.79,-2.17,0.58407,-0.121
1668866,-2.876,-2.37,0.66142,-0.099
1668867,-2.817,-2.28,0.74256,-0.077
1668868,-2.439,-1.79,0.66142,-0.099
1668869,-1.741,-1.16,0.91281,-0.033
1668870,-2.19,-1.6,0.82667,-0.055
1668871,-2.025,-1.63,0.82667,-0.055
1668872,-1.905,-1.57,0.82667,-0.055
1668873,-1.73,-1.5,0.82667,-0.055
1668874,-1.558,-1.41,0.82667,-0.055
1668875,-1.342,-1.29,0.82667,-0.055
1668876,-1.067,-1.13,0.74256,-0.077
1668877,-1.079,-1.23,0.82667,-0.055
1668879,-1.257,-1.5,0.74256,-0.077
1671104,3.678,2.26,0.74256,0.077
1671105,1.9,1.12,0.74256,0.077
1671106,1.5,0.88,0.74256,0.077
1671107,1.411,0.8,0.74256,0.077
1671108,1.736,0.95,0.82667,0.055
1671109,2.084,1.11,0.74256,0.077
1671110,2.487,1.29,0.74256,0.077
1671111,2.694,1.38,0.74256,0.077
1671112,3.1,1.55,0.74256,0.077
1671113,2.89,1.45,0.74256,0.077
1671115,2.05,0.95,0.74256,0.077
1671116,3.2,1.34,0.82667,0.055
1671117,2.373,0.92,0.82667,0.055
1671118,2.107,0.79,0.82667,0.055
1671119,2.13,0.8,0.91281,0.033
1671120,2.127,0.81,0.82667,0.055
1671121,2.14,0.82,0.82667,0.055
1671122,2.173,0.81,0.91281,0.033
1671123,2.237,0.81,0.91281,0.033
1671124,2.057,0.81,0.74256,0.077
1671125,4.503,1.88,0.74256,0.077
1671126,3.64,1.48,0.74256,0.077
1671127,4.429,1.84,0.74256,0.077
1671128,4.387,1.82,0.74256,0.077
1671129,3.912,1.56,0.74256,0.077
1671130,3.509,1.36,0.74256,0.077
1671131,2.81,1.04,0.74256,0.077
1671132,2.28,0.81,0.82667,0.055
1671133,2.03,0.71,0.82667,0.055
1671134,1.94,0.65,0.82667,0.055
1671135,1.937,0.63,0.82667,0.055
1671136,1.691,0.53,0.91281,0.033
1671137,1.507,0.47,0.91281,0.033
1671138,1.263,0.39,0.91281,0.033
1671139,-0.593,-0.18,1,-0.011
1671140,-0.96,-0.29,1,-0.011
1671141,-0.303,-0.1,1,-0.011
1671142,-1.499,-0.46,0.91281,-0.033
1671143,-1.481,-0.48,0.91281,-0.033
1671144,-1.496,-0.51,0.91281,-0.033
1671145,-1.453,-0.47,0.91281,-0.033
1671146,-1.427,-0.43,0.91281,-0.033
1671147,-1.573,-0.48,0.91281,-0.033
1671148,-1.707,-0.56,0.91281,-0.033
1671149,-0.843,-0.29,0.91281,-0.033
1671150,-0.915,-0.36,0.91281,-0.033
1671151,-0.762,-0.31,0.91281,-0.033
1671152,-0.787,-0.32,0.91281,-0.033
1671153,-1.2,-0.44,0.91281,-0.033
1671154,-1.49,-0.5,0.91281,-0.033
1671155,-1.76,-0.56,1,-0.011
1671156,-1.995,-0.6,1,-0.011
1671157,-2.227,-0.64,1,-0.011
1671158,-2.307,-0.64,1,-0.011
1671159,-2.298,-0.65,1,-0.011
1671160,-2.297,-0.64,1,-0.011
1671161,-2.27,-0.64,1,-0.011
1671162,-2.25,-0.62,1,-0.011
1671163,-2.167,-0.55,1,-0.011
1671164,-2.197,-0.58,1,-0.011
1671165,-2.21,-0.6,1,-0.011
1671166,-1.483,-0.44,1,-0.011
1671167,-1.387,-0.39,1,-0.011
1671168,-1.39,-0.39,1,-0.011
1671169,-1.407,-0.41,1,-0.011
1671170,-1.43,-0.43,1,-0.011
1671171,-1.42,-0.43,1,-0.011
1671172,-1.447,-0.45,1,-0.011
1671173,-1.117,-0.36,0.91281,-0.033
1671174,-1.5,-0.51,0.91281,-0.033
1671175,-1.53,-0.54,1,-0.011
1671176,-1.067,-0.41,1,-0.011
1671177,-1.067,-0.43,0.91281,-0.033
1671178,-0.993,-0.39,0.91281,-0.033
1671179,-1.017,-0.42,0.91281,-0.033
1671180,-0.86,-0.34,0.91281,-0.033
1671181,-0.823,-0.33,0.91281,-0.033
1671182,-0.693,-0.27,0.91281,-0.033
1671183,-0.637,-0.25,0.91281,-0.033
1671184,-1.333,-0.55,0.91281,-0.033
1671185,-1.137,-0.47,0.91281,-0.033
1671186,-0.999,-0.41,0.91281,-0.033
1671187,-0.886,-0.35,0.91281,-0.033
1671188,-0.572,-0.24,0.91281,-0.033
1671189,-0.433,-0.18,0.91281,-0.033
1671190,-0.26,-0.11,0.91281,-0.033
1671191,-0.063,-0.03,1,-0.011
1671192,0.036,0.02,1,0.011
1671193,-0.12,-0.05,0.82667,-0.055
1671194,-0.02,-0.01,0.82667,-0.055
1671195,0.12,0.05,1,0.011
1671196,0.217,0.1,1,0.011
1671197,0.053,0.02,1,0.011
1671198,-0.069,-0.03,1,-0.011
1671199,-0.067,-0.03,1,-0.011
1671200,-0.047,-0.02,1,-0.011
1671201,0.01,0,1,0.011
1671202,-0.117,-0.06,1,-0.011
1671203,-0.163,-0.09,1,-0.011
1671204,0.76,0.38,0.91281,0.033
1671205,0.787,0.4,0.91281,0.033
1671206,0.735,0.37,0.91281,0.033
1671207,0.152,0.07,1,0.011
1671208,-0.042,-0.02,1,-0.011
1671209,-0.187,-0.08,1,-0.011
1671210,-0.083,-0.04,1,-0.011
1671211,0.386,0.18,1,0.011
1671212,0.001,0,1,0.011
1671213,-0.438,-0.18,0.91281,-0.033
1671214,-0.632,-0.26,0.91281,-0.033
1671215,-0.997,-0.41,0.82667,-0.055
1671216,-1.099,-0.46,0.82667,-0.055
1671217,-1.309,-0.52,0.74256,-0.077
1671218,-1.679,-0.68,0.66142,-0.099
1671219,-1.921,-0.8,0.74256,-0.077
1671220,-2.183,-0.93,0.74256,-0.077
1671221,-2.456,-1.05,0.74256,-0.077
1671222,-2.891,-1.23,0.74256,-0.077
1671223,-3.269,-1.38,0.74256,-0.077
1671224,-2.929,-1.25,0.74256,-0.077
1671225,-3.069,-1.32,0.74256,-0.077
1671226,-3.099,-1.26,0.82667,-0.055
1671227,-3.276,-1.4,0.82667,-0.055
1671228,-1.994,-0.92,0.91281,-0.033
1671229,-2.902,-1.25,0.74256,-0.077
1671230,-3.576,-1.51,0.82667,-0.055
1671231,-3.258,-1.41,0.82667,-0.055
1671232,-2.544,-1.16,0.82667,-0.055
1671233,-3.514,-1.55,0.82667,-0.055
1671234,-3.66,-1.55,0.82667,-0.055
1671235,-3.657,-1.65,0.82667,-0.055
1671236,-3.466,-1.51,0.82667,-0.055
1671237,-3.26,-1.35,0.82667,-0.055
1671238,-3.137,-1.31,0.82667,-0.055
1671239,-3.144,-1.46,0.74256,-0.077
1671240,-3.176,-1.37,0.74256,-0.077
1671241,-2.769,-1.21,0.74256,-0.077
1671242,-2.729,-1.26,0.74256,-0.077
1671243,-2.188,-1.13,0.66142,-0.099
1671244,-2.157,-1.19,0.66142,-0.099
1671245,-2.543,-1.58,0.58407,-0.121
1671246,-2.443,-1.51,0.66142,-0.099
1671247,-2.17,-1.24,0.66142,-0.099
1671248,-2.317,-1.43,0.66142,-0.099
1671249,-2.541,-1.75,0.51122,-0.143
1671250,-2.543,-1.77,0.44342,-0.165
1671251,-2.403,-1.59,0.58407,-0.121
1671252,-2.269,-1.44,0.58407,-0.121
1671253,-2.197,-1.36,0.58407,-0.121
1671254,-2.507,-1.49,0.58407,-0.121
1671255,-2.865,-1.7,0.58407,-0.121
1671256,-3.695,-2.21,0.58407,-0.121
1671257,-4.05,-2.47,0.58407,-0.121
1671258,-3.535,-2.15,0.58407,-0.121
1671259,-4.2,-2.63,0.58407,-0.121
1671260,-3.635,-2.28,0.58407,-0.121
1671261,-3.565,-2.28,0.58407,-0.121
1671262,-3.598,-2.35,0.58407,-0.121
1671263,-3.828,-2.42,0.58407,-0.121
1671264,-3.913,-2.56,0.58407,-0.121
1671265,-3.704,-2.38,0.66142,-0.099
1671266,-3.59,-2.43,0.66142,-0.099
1671267,-3.422,-2.42,0.66142,-0.099
1671268,-2.876,-2.22,0.66142,-0.099
1671269,-2.947,-2.42,0.74256,-0.077
1671270,-2.196,-1.57,0.82667,-0.055
1671271,-1.776,-1.19,0.91281,-0.033
1671272,-1.759,-1.18,0.91281,-0.033
1671273,-1.94,-1.42,0.82667,-0.055
1671274,-1.967,-1.59,0.82667,-0.055
1671275,-1.737,-1.52,0.82667,-0.055
1671276,-1.485,-1.41,0.82667,-0.055
1671277,-1.305,-1.29,0.82667,-0.055
1671278,-1.233,-1.2,0.91281,-0.033
1671279,-1.007,-1.05,0.91281,-0.033
1671280,-0.975,-0.98,1,-0.011
1671281,-0.825,-0.87,0.91281,-0.033
1671282,-1.306,-1.58,0.74256,-0.077
1673508,1.531,0.86,0.74256,0.077
1673509,1.576,0.88,0.74256,0.077
1673510,2.159,1.15,0.74256,0.077
1673511,2.516,1.31,0.82667,0.055
1673512,2.936,1.49,0.74256,0.077
1673513,3.06,1.53,0.74256,0.077
1673514,2.993,1.47,0.74256,0.077
1673515,1.563,0.74,0.74256,0.077
1673517,2.25,1.02,0.74256,0.077
1673518,3.04,1.28,0.74256,0.077
1673519,3.687,1.44,0.74256,0.077
1673520,1.987,0.72,0.91281,0.033
1673521,2.013,0.73,0.91281,0.033
1673522,2.003,0.73,0.82667,0.055
1673523,2,0.74,0.82667,0.055
1673524,2.35,0.88,0.74256,0.077
1673525,2.2,0.8,0.82667,0.055
1673526,3.547,1.37,0.74256,0.077
1673527,4.096,1.68,0.74256,0.077
1673528,4.006,1.64,0.74256,0.077
1673529,3.067,1.15,0.82667,0.055
1673530,3.709,1.49,0.74256,0.077
1673531,3.899,1.6,0.74256,0.077
1673532,3.792,1.54,0.74256,0.077
1673533,3.33,1.3,0.74256,0.077
1673534,2.954,1.12,0.74256,0.077
1673535,2.784,0.98,0.82667,0.055
1673536,2.336,0.79,0.82667,0.055
1673537,2.358,0.8,0.82667,0.055
1673538,2.124,0.71,0.82667,0.055
1673539,1.277,0.43,1,0.011
1673540,0.58,0.19,1,0.011
1673541,-0.527,-0.16,1,-0.011
1673542,-1.253,-0.38,1,-0.011
1673543,-1.474,-0.43,0.91281,-0.033
1673544,-1.386,-0.41,0.91281,-0.033
1673545,-1.346,-0.41,0.91281,-0.033
1673546,-1.393,-0.45,0.91281,-0.033
1673547,-1.44,-0.45,0.91281,-0.033
1673548,-1.423,-0.43,0.91281,-0.033
1673549,-1.49,-0.44,0.91281,-0.033
1673550,-1.623,-0.52,0.91281,-0.033
1673551,-1.7,-0.59,0.91281,-0.033
1673552,-0.793,-0.32,0.91281,-0.033
1673553,-1.068,-0.4,0.91281,-0.033
1673554,-0.86,-0.34,0.91281,-0.033
1673555,-1.003,-0.38,0.91281,-0.033
1673556,-1.213,-0.44,0.91281,-0.033
1673557,-1.557,-0.52,0.91281,-0.033
1673558,-1.957,-0.6,1,-0.011
1673559,-2.268,-0.64,1,-0.011
1673560,-2.273,-0.61,1,-0.011
1673561,-2.24,-0.59,1,-0.011
1673562,-2.207,-0.56,1,-0.011
1673563,-2.217,-0.58,1,-0.011
1673564,-2.233,-0.6,1,-0.011
1673565,-2.167,-0.55,1,-0.011
1673566,-2.18,-0.58,1,-0.011
1673567,-2.22,-0.61,1,-0.011
1673568,-2.217,-0.61,1,-0.011
1673569,-1.45,-0.4,1,-0.011
1673570,-1.43,-0.39,1,-0.011
1673571,-1.447,-0.41,1,-0.011
1673572,-1.527,-0.46,1,-0.011
1673573,-1.537,-0.47,1,-0.011
1673574,-1.523,-0.47,1,-0.011
1673575,-1.497,-0.46,1,-0.011
1673576,-1.4,-0.45,0.91281,-0.033
1673577,-1.593,-0.54,1,-0.011
1673578,-1.597,-0.56,1,-0.011
1673579,-1.097,-0.41,1,-0.011
1673580,-1.06,-0.4,1,-0.011
1673581,-1.03,-0.4,0.91281,-0.033
1673582,-0.903,-0.34,0.91281,-0.033
1673583,-0.817,-0.3,0.91281,-0.033
1673584,-0.931,-0.34,0.91281,-0.033
1673585,-0.703,-0.27,0.91281,-0.033
1673586,-0.683,-0.27,0.91281,-0.033
1673587,-0.543,-0.21,0.91281,-0.033
1673588,-1.5,-0.57,0.82667,-0.055
1673589,-1.29,-0.49,0.82667,-0.055
1673590,-1.024,-0.41,0.91281,-0.033
1673591,-0.83,-0.33,0.91281,-0.033
1673592,-0.652,-0.27,0.91281,-0.033
1673593,-0.458,-0.19,0.91281,-0.033
1673594,-0.268,-0.12,0.91281,-0.033
1673595,-0.337,-0.14,0.82667,-0.055
1673596,-0.497,-0.2,0.91281,-0.033
1673597,-0.273,-0.11,0.91281,-0.033
1673598,-0.183,-0.08,0.91281,-0.033
1673599,-0.06,-0.03,0.91281,-0.033
1673600,0.043,0.02,1,0.011
1673601,0.03,0.01,1,0.011
1673602,0.057,0.03,1,0.011
1673603,0.097,0.04,1,0.011
1673604,-0.02,-0.01,1,-0.011
1673605,-0.003,0,1,-0.011
1673606,0.567,0.26,1,0.011
1673607,0.382,0.17,1,0.011
1673608,0.307,0.14,1,0.011
1673609,-0.007,0,1,-0.011
1673610,-0.46,-0.19,0.91281,-0.033
1673611,-0.508,-0.21,0.91281,-0.033
1673612,-0.187,-0.08,1,-0.011
1673613,0.347,0.16,1,0.011
1673614,0.094,0.04,1,0.011
1673615,-0.186,-0.08,0.91281,-0.033
1673616,-0.682,-0.27,0.91281,-0.033
1673617,-1.229,-0.48,0.82667,-0.055
1673618,-1.351,-0.52,0.74256,-0.077
1673619,-1.526,-0.58,0.66142,-0.099
1673620,-1.78,-0.68,0.66142,-0.099
1673621,-2.107,-0.85,0.74256,-0.077
1673622,-2.526,-1,0.74256,-0.077
1673623,-2.995,-1.2,0.74256,-0.077
1673624,-2.703,-1.07,0.74256,-0.077
1673625,-2.913,-1.18,0.74256,-0.077
1673626,-3.069,-1.24,0.82667,-0.055
1673627,-3.204,-1.28,0.82667,-0.055
1673628,-3.299,-1.31,0.82667,-0.055
1673629,-4.094,-1.58,0.82667,-0.055
1673630,-3.602,-1.45,0.82667,-0.055
1673631,-3.226,-1.32,0.74256,-0.077
1673632,-3.85,-1.54,0.82667,-0.055
1673633,-3.156,-1.32,0.82667,-0.055
1673634,-2.418,-1.06,0.74256,-0.077
1673635,-3.93,-1.63,0.82667,-0.055
