"nie_malla_modi_id","sen_slope_prem06","sen_slope_per_prem06","p_value_prem06","tau_prem06"
1714386,-0.262,-1.98,0.6217,-0.11
1714387,-0.213,-1.72,0.6217,-0.11
1714388,-0.161,-1.33,0.70113,-0.088
1714389,-0.142,-1.19,0.70113,-0.088
1714390,-0.143,-1.14,0.6217,-0.11
1714391,-0.224,-1.67,0.6217,-0.11
1714392,-0.252,-1.84,0.6217,-0.11
1714393,-0.327,-2.31,0.6217,-0.11
1714394,-0.376,-2.6,0.6217,-0.11
1714395,-0.29,-2.07,0.6217,-0.11
1714396,-0.258,-1.86,0.6217,-0.11
1714397,-0.26,-1.96,0.6217,-0.11
1714398,-0.258,-2.03,0.6217,-0.11
1714399,-0.25,-2.07,0.70113,-0.088
1714400,-0.214,-1.85,0.70113,-0.088
1714401,-0.186,-1.69,0.70113,-0.088
1714402,-0.119,-1.26,0.78398,-0.066
1714403,-0.074,-0.86,0.70113,-0.088
1714404,-0.126,-1.6,0.6217,-0.11
1714405,-0.077,-0.89,0.78398,-0.066
1714406,-0.152,-1.62,0.70113,-0.088
1714407,-0.202,-1.99,0.70113,-0.088
1714408,-0.215,-1.98,0.70113,-0.088
1714409,-0.221,-1.96,0.70113,-0.088
1714410,-0.215,-2.02,0.70113,-0.088
1714411,-0.212,-2.13,0.70113,-0.088
1714412,-0.134,-1.45,0.78398,-0.066
1714413,-0.155,-1.64,0.78398,-0.066
1714414,-0.112,-1.25,0.78398,-0.066
1714415,-0.066,-0.78,0.78398,-0.066
1714416,-0.103,-1.34,0.86935,-0.044
1714417,-0.055,-0.68,0.78398,-0.066
1714418,-0.093,-1.06,0.86935,-0.044
1714419,-0.056,-0.61,0.86935,-0.044
1714420,-0.098,-1.11,0.78398,-0.066
1714421,-0.058,-0.69,0.86935,-0.044
1714422,-0.038,-0.49,0.95628,-0.022
1714423,-0.036,-0.46,0.86935,-0.044
1714424,-0.004,-0.05,0.95628,-0.022
1714425,0,0,1,0
1714426,0,0,1,0
1714427,-0.046,-0.55,0.78398,-0.066
1714428,-0.05,-0.59,0.78398,-0.066
1714429,-0.031,-0.38,0.86935,-0.044
1714430,-0.031,-0.38,0.86935,-0.044
1714431,-0.031,-0.39,0.95628,-0.022
1714432,-0.024,-0.34,0.95628,-0.022
1714433,-0.031,-0.43,0.95628,-0.022
1714434,-0.031,-0.42,0.86935,-0.044
1714435,-0.011,-0.16,0.95628,-0.022
1714436,0,0,1,0
1714437,0,0,1,0
1714438,0.164,2.41,0.74181,0.077
1714439,0.09,1.2,0.66142,0.099
1714440,0.133,1.74,0.66142,0.099
1714441,0.53,5.25,0.58407,0.121
1714442,0.566,5.59,0.51122,0.143
1714443,0.889,8.3,0.22844,0.253
1714444,0.901,8.58,0.15463,0.297
1714445,1.016,10.22,0.15463,0.297
1714446,0.973,10.31,0.15463,0.297
1714447,0.965,10.88,0.13878,0.308
1714448,0.924,9.87,0.15463,0.297
1714449,0.954,10.11,0.15463,0.297
1714453,0.97,11.62,0.15463,0.297
1714454,0.926,10.73,0.18889,0.275
1714455,0.993,11.29,0.18889,0.275
1714456,1.051,11.81,0.22844,0.253
1714457,1.059,12.13,0.18889,0.275
1714458,1.076,12.46,0.18889,0.275
1714459,1.047,12.61,0.2073,0.264
1714460,0.992,12.86,0.15463,0.297
1714461,0.967,12.88,0.15463,0.297
1714462,0.913,12.81,0.11184,0.33
1714463,1.018,13.34,0.12531,0.319
1714464,1.08,13.64,0.12531,0.319
1714465,1.109,13.64,0.17048,0.286
1714466,1.113,13.99,0.12531,0.319
1714467,1.051,13.49,0.12531,0.319
1714468,1.044,13.57,0.12531,0.319
1714469,1.045,13.62,0.12531,0.319
1714470,1.019,13.68,0.12531,0.319
1714471,0.883,12.59,0.10052,0.341
1714472,0.918,12.76,0.12531,0.319
1714473,0.933,12.55,0.12531,0.319
1714474,0.978,12.64,0.17048,0.286
1714475,1.051,12.94,0.17048,0.286
1714476,1.017,12.41,0.17048,0.286
1714477,1,12.3,0.17048,0.286
1714478,0.91,11.23,0.15463,0.297
1714479,0.853,10.4,0.22844,0.253
1714480,0.787,9.6,0.22844,0.253
1714481,0.707,8.61,0.27356,0.231
1714482,0.687,8.21,0.29754,0.22
1714483,0.606,7.59,0.27356,0.231
1714484,0.45,5.58,0.38107,0.187
1714485,0.255,3.08,0.51122,0.143
1714486,0.318,3.83,0.58407,0.121
1714487,0.03,0.38,0.91281,0.033
1714488,0.133,1.63,0.82667,0.055
1714489,0.304,3.56,0.74256,0.077
1714490,0.038,0.45,0.82667,0.055
1714491,0.024,0.28,1,0.011
1714492,0.05,0.6,0.82667,0.055
1714493,0.075,0.88,0.82667,0.055
1714494,0.075,0.9,0.74256,0.077
1714495,0.065,0.82,0.58407,0.121
1714496,0.038,0.49,0.6217,0.11
1714497,0.038,0.51,0.47422,0.154
1714498,0.028,0.38,0.62029,0.11
1714499,0.031,0.46,0.5791,0.121
1714500,0.03,0.48,0.54113,0.132
1714501,0.031,0.46,0.5791,0.121
1714502,0.028,0.38,0.5791,0.121
1714503,0.037,0.52,0.50564,0.143
1714504,0.058,0.91,0.3748,0.187
1714505,0.123,2.09,0.47422,0.154
1714506,0.22,4.04,0.47422,0.154
1714507,0.073,1.26,0.54483,0.132
1714508,0.029,0.51,0.54483,0.132
1714509,0.024,0.43,0.69999,0.088
1714510,0.023,0.45,0.69999,0.088
1714511,0.03,0.61,0.54483,0.132
1714512,0.028,0.58,0.58142,0.121
1714513,0.028,0.57,0.69999,0.088
1714514,0.028,0.58,0.65917,0.099
1714515,0.137,2.85,0.47422,0.154
1714516,0.19,3.98,0.47422,0.154
1714517,0.165,3.5,0.47422,0.154
1714518,0.148,3.13,0.40896,0.176
1714519,0.058,1.24,0.40896,0.176
1714520,0.025,0.51,0.54483,0.132
1714521,0.025,0.5,0.43741,0.165
1714522,0.023,0.48,0.26131,0.231
1714523,0.027,0.55,0.26131,0.231
1714524,0.1,2.19,0.26131,0.231
1714525,0.107,2.36,0.26131,0.231
1716737,-0.265,-2.49,0.6217,-0.11
1716738,-0.254,-2.27,0.54644,-0.132
1716739,-0.244,-2.15,0.54644,-0.132
1716740,-0.29,-2.59,0.54644,-0.132
1716741,-0.262,-2.33,0.58407,-0.121
1716742,-0.282,-2.53,0.58407,-0.121
1716743,-0.308,-2.68,0.66142,-0.099
1716744,-0.32,-2.8,0.74256,-0.077
1716745,-0.262,-2.18,0.74256,-0.077
1716746,-0.207,-1.69,0.74256,-0.077
1716747,-0.153,-1.25,0.66142,-0.099
1716748,-0.173,-1.47,0.66142,-0.099
1716749,-0.265,-2.34,0.66142,-0.099
1716750,-0.317,-2.57,0.58407,-0.121
1716751,-0.192,-1.46,0.66142,-0.099
1716752,-0.284,-2.05,0.74256,-0.077
1716753,-0.167,-1.26,0.58407,-0.121
1716754,-0.16,-1.26,0.66142,-0.099
1716755,-0.172,-1.28,0.66142,-0.099
1716756,-0.178,-1.3,0.82667,-0.055
1716757,-0.15,-1.1,0.74256,-0.077
1716758,-0.1,-0.7,0.91281,-0.033
1716759,0,0,1,0
1716760,0,0,1,0
1716761,0,0,1,0
1716762,0,0,1,0
1716763,0,0,1,0
1716764,0,0,1,0
1716765,0,0,1,0
1716766,0.014,0.09,0.95628,0.022
1716767,0,0,1,0
1716768,-0.15,-0.87,0.78398,-0.066
1716769,-0.158,-0.94,0.78398,-0.066
1716770,-0.154,-0.91,0.6217,-0.11
1716771,-0.15,-0.87,0.78398,-0.066
1716772,-0.146,-0.85,0.78398,-0.066
1716773,-0.142,-0.83,0.78398,-0.066
1716774,-0.138,-0.83,0.70113,-0.088
1716775,-0.134,-0.83,0.70113,-0.088
1716776,-0.266,-1.59,0.70113,-0.088
1716777,-0.289,-1.78,0.6217,-0.11
1716778,-0.249,-1.62,0.6217,-0.11
1716779,-0.26,-1.73,0.6217,-0.11
1716780,-0.257,-1.75,0.6217,-0.11
1716781,-0.247,-1.72,0.6217,-0.11
1716782,-0.231,-1.65,0.6217,-0.11
1716783,-0.298,-2.01,0.6217,-0.11
1716784,-0.295,-1.97,0.6217,-0.11
1716785,-0.29,-1.92,0.6217,-0.11
1716786,-0.285,-1.95,0.6217,-0.11
1716787,-0.236,-1.79,0.6217,-0.11
1716788,-0.265,-1.99,0.6217,-0.11
1716789,-0.179,-1.49,0.70113,-0.088
1716790,-0.11,-0.97,0.70113,-0.088
1716791,-0.118,-1.01,0.78398,-0.066
1716792,-0.146,-1.22,0.70113,-0.088
1716793,-0.143,-1.13,0.6217,-0.11
1716794,-0.213,-1.59,0.6217,-0.11
1716795,-0.278,-2.01,0.6217,-0.11
1716796,-0.264,-1.91,0.6217,-0.11
1716797,-0.258,-1.9,0.6217,-0.11
1716798,-0.26,-1.96,0.6217,-0.11
1716799,-0.26,-1.98,0.6217,-0.11
1716800,-0.258,-2.09,0.70113,-0.088
1716801,-0.241,-2,0.70113,-0.088
1716802,-0.188,-1.67,0.70113,-0.088
1716803,-0.123,-1.18,0.70113,-0.088
1716804,-0.08,-0.91,0.70113,-0.088
1716805,-0.152,-1.9,0.70113,-0.088
1716806,-0.164,-2.08,0.70113,-0.088
1716807,-0.103,-1.15,0.78398,-0.066
1716808,-0.176,-1.84,0.70113,-0.088
1716809,-0.188,-1.84,0.70113,-0.088
1716810,-0.197,-1.79,0.70113,-0.088
1716811,-0.195,-1.8,0.70113,-0.088
1716812,-0.195,-1.9,0.70113,-0.088
1716813,-0.173,-1.81,0.78398,-0.066
1716814,-0.123,-1.36,0.78398,-0.066
1716815,-0.127,-1.4,0.82615,-0.055
1716816,-0.084,-0.97,0.78398,-0.066
1716817,-0.082,-1.01,0.78398,-0.066
1716818,-0.012,-0.16,0.95628,-0.022
1716819,-0.044,-0.57,0.95628,-0.022
1716820,-0.068,-0.8,0.78398,-0.066
1716821,-0.102,-1.16,0.78398,-0.066
1716822,-0.074,-0.87,0.86935,-0.044
1716823,-0.036,-0.45,0.86935,-0.044
1716824,-0.032,-0.42,0.95628,-0.022
1716825,0,0,1,0
1716826,0,0,1,0
1716827,-0.031,-0.46,0.95628,-0.022
1716828,-0.018,-0.23,0.95628,-0.022
1716829,-0.055,-0.66,0.78398,-0.066
1716830,-0.036,-0.44,0.86935,-0.044
1716831,-0.03,-0.38,0.78398,-0.066
1716832,-0.066,-0.84,0.86935,-0.044
1716833,-0.03,-0.4,0.86935,-0.044
1716834,-0.016,-0.24,0.95628,-0.022
